Appling	1309	89.84	140	9.61	3	0.21	5	0.34	0	0.00	1169	80.23	1457
Atkinson	958	97.06	29	2.94	0	0.00	0	0.00	0	0.00	929	94.12	987
Bacon	929	93.74	62	6.26	0	0.00	0	0.00	0	0.00	867	87.49	991
Baker	599	97.72	13	2.12	1	0.16	0	0.00	0	0.00	586	95.60	613
Baldwin	811	87.58	113	12.20	2	0.22	0	0.00	0	0.00	698	75.38	926
Banks	641	77.98	181	22.02	0	0.00	0	0.00	0	0.00	460	55.96	822
Barrow	1181	87.16	172	12.69	2	0.15	0	0.00	0	0.00	1009	74.46	1355
Bartow	2228	83.13	444	16.57	6	0.22	2	0.07	0	0.00	1784	66.57	2680
Ben_Hill	1147	88.64	146	11.28	1	0.08	0	0.00	0	0.00	1001	77.36	1294
Berrien	1700	96.98	53	3.02	0	0.00	0	0.00	0	0.00	1647	93.95	1753
Bibb	5722	92.34	452	7.29	22	0.36	1	0.02	0	0.00	5270	85.04	6197
Bleckley	649	90.14	69	9.58	2	0.28	0	0.00	0	0.00	580	80.56	720
Brantley	527	92.13	40	6.99	5	0.87	0	0.00	0	0.00	487	85.14	572
Brooks	1277	92.74	94	6.83	6	0.44	0	0.00	0	0.00	1183	85.91	1377
Bryan	632	90.41	63	9.01	4	0.57	0	0.00	0	0.00	569	81.40	699
Bulloch	1978	96.53	66	3.22	5	0.24	0	0.00	0	0.00	1912	93.31	2049
Burke	1040	95.06	51	4.66	3	0.27	0	0.00	0	0.00	989	90.40	1094
Butts	820	96.13	28	3.28	5	0.59	0	0.00	0	0.00	792	92.85	853
Calhoun	777	97.98	14	1.77	2	0.25	0	0.00	0	0.00	763	96.22	793
Camden	515	90.19	53	9.28	2	0.35	1	0.18	0	0.00	462	80.91	571
Candler	992	92.28	80	7.44	3	0.28	0	0.00	0	0.00	912	84.84	1075
Carroll	3717	84.98	653	14.93	4	0.09	0	0.00	0	0.00	3064	70.05	4374
Catoosa	1018	82.16	218	17.59	1	0.08	1	0.08	1	0.08	800	64.57	1239
Charlton	468	94.16	28	5.63	1	0.20	0	0.00	0	0.00	440	88.53	497
Chatham	10019	88.90	1227	10.89	14	0.12	4	0.04	6	0.05	8792	78.01	11270
Chattahoochee	206	91.15	20	8.85	0	0.00	0	0.00	0	0.00	186	82.30	226
Chattooga	2999	92.79	231	7.15	2	0.06	0	0.00	0	0.00	2768	85.64	3232
Cherokee	1211	58.79	842	40.87	6	0.29	1	0.05	0	0.00	369	17.91	2060
Clarke	2632	94.13	160	5.72	3	0.11	1	0.04	0	0.00	2472	88.41	2796
Clay	484	96.99	13	2.61	2	0.40	0	0.00	0	0.00	471	94.39	499
Clayton	1352	88.37	175	11.44	3	0.20	0	0.00	0	0.00	1177	76.93	1530
Clinch	1002	93.21	71	6.60	2	0.19	0	0.00	0	0.00	931	86.60	1075
Cobb	2802	79.72	707	20.11	6	0.17	0	0.00	0	0.00	2095	59.60	3515
Coffee	1702	93.57	116	6.38	1	0.05	0	0.00	0	0.00	1586	87.19	1819
Colquitt	2449	84.42	448	15.44	3	0.10	1	0.03	0	0.00	2001	68.98	2901
Columbia	659	94.14	34	4.86	7	1.00	0	0.00	0	0.00	625	89.29	700
Cook	1697	93.45	117	6.44	1	0.06	1	0.06	0	0.00	1580	87.00	1816
Coweta	2260	96.79	73	3.13	2	0.09	0	0.00	0	0.00	2187	93.66	2335
Crawford	413	94.51	22	5.03	2	0.46	0	0.00	0	0.00	391	89.47	437
Crisp	1029	92.70	79	7.12	2	0.18	0	0.00	0	0.00	950	85.59	1110
Dade	857	87.01	127	12.89	1	0.10	0	0.00	0	0.00	730	74.11	985
Dawson	377	53.93	322	46.07	0	0.00	0	0.00	0	0.00	55	7.87	699
De_Kalb	1965	72.16	749	27.51	4	0.15	1	0.04	4	0.15	1216	44.66	2723
Decatur	7391	86.34	1137	13.28	17	0.20	4	0.05	11	0.13	6254	73.06	8560
Dodge	1259	94.24	71	5.31	2	0.15	4	0.30	0	0.00	1188	88.92	1336
Dooly	1339	97.03	41	2.97	0	0.00	0	0.00	0	0.00	1298	94.06	1380
Dougherty	2591	95.40	122	4.49	1	0.04	2	0.07	0	0.00	2469	90.91	2716
Douglas	1015	80.88	237	18.88	1	0.08	2	0.16	0	0.00	778	61.99	1255
Early	1107	95.68	46	3.98	1	0.09	2	0.17	1	0.09	1061	91.70	1157
Echols	300	90.63	30	9.06	1	0.30	0	0.00	0	0.00	270	81.57	331
Effingham	612	81.06	142	18.81	1	0.13	0	0.00	0	0.00	470	62.25	755
Elbert	1772	79.39	438	19.62	21	0.94	1	0.04	0	0.00	1334	59.77	2232
Emanuel	1943	93.37	125	6.01	6	0.29	7	0.34	0	0.00	1818	87.36	2081
Evans	733	95.07	35	4.54	3	0.39	0	0.00	0	0.00	698	90.53	771
Fannin	1540	44.90	1890	55.10	0	0.00	0	0.00	0	0.00	-350	-10.20	3430
Fayette	748	91.33	70	8.55	1	0.12	0	0.00	0	0.00	678	82.78	819
Floyd	5499	89.87	612	10.00	6	0.10	1	0.02	1	0.02	4887	79.87	6119
Forsyth	780	58.60	551	41.40	0	0.00	0	0.00	0	0.00	229	17.21	1331
Franklin	1621	86.73	238	12.73	8	0.43	1	0.05	1	0.05	1383	74.00	1869
Fulton	27183	88.17	3552	11.52	54	0.18	20	0.06	20	0.06	23631	76.65	30829
Gilmer	1128	51.86	1047	48.14	0	0.00	0	0.00	0	0.00	81	3.72	2175
Glascock	369	83.86	68	15.45	3	0.68	0	0.00	0	0.00	301	68.41	440
Glynn	1925	87.98	260	11.88	1	0.05	1	0.05	1	0.05	1665	76.10	2188
Gordon	2026	79.86	504	19.87	7	0.28	0	0.00	0	0.00	1522	59.99	2537
Grady	1659	90.71	163	8.91	6	0.33	1	0.05	0	0.00	1496	81.79	1829
Greene	1348	93.35	86	5.96	10	0.69	0	0.00	0	0.00	1262	87.40	1444
Gwinnett	2382	81.41	541	18.49	3	0.10	0	0.00	0	0.00	1841	62.92	2926
Habersham	1884	80.93	424	18.21	16	0.69	4	0.17	0	0.00	1460	62.71	2328
Hall	2731	85.85	444	13.96	6	0.19	0	0.00	0	0.00	2287	71.90	3181
Hancock	504	88.42	57	10.00	9	1.58	0	0.00	0	0.00	447	78.42	570
Haralson	1643	67.39	787	32.28	6	0.25	1	0.04	1	0.04	856	35.11	2438
Harris	953	94.54	54	5.36	1	0.10	0	0.00	0	0.00	899	89.19	1008
Hart	1514	86.96	222	12.75	5	0.29	0	0.00	0	0.00	1292	74.21	1741
Heard	725	82.11	155	17.55	3	0.34	0	0.00	0	0.00	570	64.55	883
Henry	1362	91.90	116	7.83	3	0.20	1	0.07	0	0.00	1246	84.08	1482
Houston	796	95.56	37	4.44	0	0.00	0	0.00	0	0.00	759	91.12	833
Irwin	1025	89.83	110	9.64	5	0.44	1	0.09	0	0.00	915	80.19	1141
Jackson	2447	92.76	187	7.09	4	0.15	0	0.00	0	0.00	2260	85.67	2638
Jasper	923	96.55	33	3.45	0	0.00	0	0.00	0	0.00	890	93.10	956
Jeff_Davis	631	87.15	93	12.85	0	0.00	0	0.00	0	0.00	538	74.31	724
Jefferson	1238	87.31	168	11.85	10	0.71	1	0.07	1	0.07	1070	75.46	1418
Jenkins	880	96.49	32	3.51	0	0.00	0	0.00	0	0.00	848	92.98	912
Johnson	1861	84.40	334	15.15	10	0.45	0	0.00	0	0.00	1527	69.25	2205
Jones	508	95.67	23	4.33	0	0.00	0	0.00	0	0.00	485	91.34	531
Lamar	839	92.30	69	7.59	1	0.11	0	0.00	0	0.00	770	84.71	909
Lanier	800	95.81	30	3.59	5	0.60	0	0.00	0	0.00	770	92.22	835
Laurens	2620	89.39	304	10.37	7	0.24	0	0.00	0	0.00	2316	79.02	2931
Lee	490	99.59	1	0.20	1	0.20	0	0.00	0	0.00	489	99.39	492
Liberty	369	87.65	49	11.64	2	0.48	1	0.24	0	0.00	320	76.01	421
Lincoln	561	84.23	88	13.21	17	2.55	0	0.00	0	0.00	473	71.02	666
Long	305	84.96	51	14.21	2	0.56	1	0.28	0	0.00	254	70.75	359
Lowndes	3099	94.89	130	3.98	8	0.24	27	0.83	2	0.06	2969	90.91	3266
Lumpkin	617	79.41	160	20.59	0	0.00	0	0.00	0	0.00	457	58.82	777
Macon	958	90.98	92	8.74	2	0.19	1	0.09	0	0.00	866	82.24	1053
Madison	1697	80.89	393	18.73	8	0.38	0	0.00	0	0.00	1304	62.15	2098
Marion	420	86.96	62	12.84	1	0.21	0	0.00	0	0.00	358	74.12	483
McDuffie	705	87.14	98	12.11	6	0.74	0	0.00	0	0.00	607	75.03	809
McIntosh	308	85.32	53	14.68	0	0.00	0	0.00	0	0.00	255	70.64	361
Meriwether	2438	94.61	138	5.36	1	0.04	0	0.00	0	0.00	2300	89.25	2577
Miller	653	94.64	36	5.22	1	0.14	0	0.00	0	0.00	617	89.42	690
Mitchell	2297	96.47	79	3.32	3	0.13	1	0.04	1	0.04	2218	93.15	2381
Monroe	1277	89.24	147	10.27	7	0.49	0	0.00	0	0.00	1130	78.97	1431
Montgomery	945	91.39	81	7.83	5	0.48	3	0.29	0	0.00	864	83.56	1034
Morgan	1130	96.66	37	3.17	2	0.17	0	0.00	0	0.00	1093	93.50	1169
Murray	1597	66.43	806	33.53	1	0.04	0	0.00	0	0.00	791	32.90	2404
Muscogee	5009	91.56	455	8.32	7	0.13	0	0.00	0	0.00	4554	83.24	5471
Newton	1994	93.79	123	5.79	8	0.38	1	0.05	0	0.00	1871	88.01	2126
Oconee	483	73.29	173	26.25	3	0.46	0	0.00	0	0.00	310	47.04	659
Oglethorpe	845	87.66	115	11.93	4	0.41	0	0.00	0	0.00	730	75.73	964
Paulding	1386	68.14	645	31.71	3	0.15	0	0.00	0	0.00	741	36.43	2034
Peach	767	92.52	49	5.91	12	1.45	1	0.12	0	0.00	718	86.61	829
Pickens	1223	53.73	1053	46.27	0	0.00	0	0.00	0	0.00	170	7.47	2276
Pierce	1494	96.45	45	2.91	7	0.45	3	0.19	0	0.00	1449	93.54	1549
Pike	910	85.69	149	14.03	1	0.09	2	0.19	0	0.00	761	71.66	1062
Polk	2754	87.51	389	12.36	4	0.13	0	0.00	0	0.00	2365	75.15	3147
Pulaski	808	94.61	38	4.45	7	0.82	1	0.12	0	0.00	770	90.16	854
Putnam	703	93.11	51	6.75	1	0.13	0	0.00	0	0.00	652	86.36	755
Quitman	355	94.92	19	5.08	0	0.00	0	0.00	0	0.00	336	89.84	374
Rabun	948	85.33	162	14.58	1	0.09	0	0.00	0	0.00	786	70.75	1111
Randolph	1208	93.86	74	5.75	5	0.39	0	0.00	0	0.00	1134	88.11	1287
Richmond	7239	92.69	551	7.06	16	0.20	1	0.01	3	0.04	6688	85.63	7810
Rockdale	837	91.88	73	8.01	1	0.11	0	0.00	0	0.00	764	83.86	911
Schley	419	90.69	43	9.31	0	0.00	0	0.00	0	0.00	376	81.39	462
Screven	933	92.47	61	6.05	15	1.49	0	0.00	0	0.00	872	86.42	1009
Seminole	761	90.27	82	9.73	0	0.00	0	0.00	0	0.00	679	80.55	843
Spalding	2457	98.28	36	1.44	3	0.12	3	0.12	1	0.04	2421	96.84	2500
Stephens	1142	94.22	68	5.61	2	0.17	0	0.00	0	0.00	1074	88.61	1212
Stewart	628	92.22	49	7.20	2	0.29	2	0.29	0	0.00	579	85.02	681
Sumter	1870	96.69	58	3.00	6	0.31	0	0.00	0	0.00	1812	93.69	1934
Talbot	796	94.42	41	4.86	6	0.71	0	0.00	0	0.00	755	89.56	843
Taliaferro	552	96.34	14	2.44	7	1.22	0	0.00	0	0.00	538	93.89	573
Tattnall	1047	82.31	214	16.82	11	0.86	0	0.00	0	0.00	833	65.49	1272
Taylor	771	83.71	147	15.96	3	0.33	0	0.00	0	0.00	624	67.75	921
Telfair	1158	90.54	121	9.46	0	0.00	0	0.00	0	0.00	1037	81.08	1279
Terrell	1336	95.50	61	4.36	2	0.14	0	0.00	0	0.00	1275	91.14	1399
Thomas	2409	91.08	222	8.39	13	0.49	1	0.04	0	0.00	2187	82.68	2645
Tift	1627	90.49	161	8.95	10	0.56	0	0.00	0	0.00	1466	81.54	1798
Toombs	1001	92.43	78	7.20	4	0.37	0	0.00	0	0.00	923	85.23	1083
Towns	763	51.04	732	48.96	0	0.00	0	0.00	0	0.00	31	2.07	1495
Treutlen	912	97.44	23	2.46	1	0.11	0	0.00	0	0.00	889	94.98	936
Troup	2728	94.13	167	5.76	3	0.10	0	0.00	0	0.00	2561	88.37	2898
Turner	860	82.06	188	17.94	0	0.00	0	0.00	0	0.00	672	64.12	1048
Twiggs	491	89.44	57	10.38	1	0.18	0	0.00	0	0.00	434	79.05	549
Union	1148	59.45	783	40.55	0	0.00	0	0.00	0	0.00	365	18.90	1931
Upson	1471	91.37	138	8.57	1	0.06	0	0.00	0	0.00	1333	82.80	1610
Walker	2313	83.32	458	16.50	4	0.14	1	0.04	0	0.00	1855	66.82	2776
Walton	1952	93.58	132	6.33	2	0.10	0	0.00	0	0.00	1820	87.25	2086
Ware	2566	90.77	256	9.06	5	0.18	0	0.00	0	0.00	2310	81.71	2827
Warren	545	79.91	129	18.91	8	1.17	0	0.00	0	0.00	416	61.00	682
Washington	1286	89.24	149	10.34	6	0.42	0	0.00	0	0.00	1137	78.90	1441
Wayne	788	87.65	105	11.68	6	0.67	0	0.00	0	0.00	683	75.97	899
Webster	310	88.32	40	11.40	1	0.28	0	0.00	0	0.00	270	76.92	351
Wheeler	594	86.21	94	13.64	1	0.15	0	0.00	0	0.00	500	72.57	689
White	599	78.82	161	21.18	0	0.00	0	0.00	0	0.00	438	57.63	760
Whitfield	2481	73.69	877	26.05	7	0.21	1	0.03	1	0.03	1604	47.64	3367
Wilcox	1066	84.40	195	15.44	2	0.16	0	0.00	0	0.00	871	68.96	1263
Wilkes	1031	91.89	78	6.95	13	1.16	0	0.00	0	0.00	953	84.94	1122
Wilkinson	695	84.96	118	14.43	5	0.61	0	0.00	0	0.00	577	70.54	818
Worth	1124	89.42	132	10.50	1	0.08	0	0.00	0	0.00	992	78.92	1257
Totals	255363	87.10	36943	12.60	660	0.23	141	0.05	68	0.02	218420	74.50	293175
