Putnam	457	97.65	7	1.50	4	0.85	450	96.15	468
Quitman	138	92.00	8	5.33	4	2.67	130	86.67	150
Rabun	454	76.56	117	19.73	22	3.71	337	56.83	593
Randolph	518	78.96	88	13.41	50	7.62	430	65.55	656
Richmond	2169	56.43	1296	33.71	379	9.86	873	22.71	3844
Rockdale	382	88.02	24	5.53	28	6.45	354	81.57	434
Schley	266	94.66	12	4.27	3	1.07	254	90.39	281
Screven	821	71.70	288	25.15	36	3.14	533	46.55	1145
Seminole	201	82.04	24	9.80	20	8.16	177	72.24	245
Spalding	1257	88.52	75	5.28	88	6.20	1169	82.32	1420
Stephens	523	87.31	40	6.68	36	6.01	483	80.63	599
Stewart	408	87.74	24	5.16	33	7.10	375	80.65	465
Sumter	1225	83.79	124	8.48	113	7.73	1101	75.31	1462
Talbot	491	93.35	33	6.27	2	0.38	458	87.07	526
Taliaferro	228	77.82	4	1.37	61	20.82	167	57.00	293
Tattnall	1100	83.65	66	5.02	149	11.33	951	72.32	1315
Taylor	370	76.13	96	19.75	20	4.12	274	56.38	486
Telfair	1382	78.66	264	15.03	111	6.32	1118	63.63	1757
Terrell	630	90.52	45	6.47	21	3.02	585	84.05	696
Thomas	1280	87.49	115	7.86	68	4.65	1165	79.63	1463
Tift	522	87.73	33	5.55	40	6.72	482	81.01	595
Toombs	314	83.07	32	8.47	32	8.47	282	74.60	378
Towns	604	44.02	765	55.76	3	0.22	-161	-11.73	1372
Treutlen	222	88.10	27	10.71	3	1.19	195	77.38	252
Troup	1422	84.44	165	9.80	97	5.76	1257	74.64	1684
Turner	338	63.06	166	30.97	32	5.97	172	32.09	536
Twiggs	417	85.80	39	8.02	30	6.17	378	77.78	486
Union	793	50.61	719	45.88	55	3.51	74	4.72	1567
Upson	484	83.30	37	6.37	60	10.33	424	72.98	581
Walker	1740	65.12	878	32.86	54	2.02	862	32.26	2672
Walton	873	85.17	90	8.78	62	6.05	783	76.39	1025
Ware	1497	75.00	216	10.82	283	14.18	1214	60.82	1996
Warren	253	65.37	36	9.30	98	25.32	155	40.05	387
Washington	758	78.55	130	13.47	77	7.98	628	65.08	965
Wayne	409	81.31	33	6.56	61	12.13	348	69.18	503
Webster	140	87.50	10	6.25	10	6.25	130	81.25	160
Wheeler	772	88.84	0	0.00	97	11.16	675	77.68	869
White	476	73.23	158	24.31	16	2.46	318	48.92	650
Whitfield	1236	61.92	668	33.47	92	4.61	568	28.46	1996
Wilcox	431	87.96	21	4.29	38	7.76	393	80.20	490
Wilkes	836	77.77	44	4.09	195	18.14	641	59.63	1075
Wilkinson	284	80.45	56	15.86	13	3.68	228	64.59	353
Worth	616	84.27	40	5.47	75	10.26	541	74.01	731
Totals	123200	73.96	30300	18.19	12691	7.62	92900	55.77	166577
