Glynn	1262	86.91	186	12.81	2	0.14	2	0.14	0	0.00	1076	74.10	1452
Gordon	1708	92.42	122	6.60	13	0.70	5	0.27	0	0.00	1586	85.82	1848
Grady	2184	96.89	60	2.66	10	0.44	0	0.00	0	0.00	2124	94.23	2254
Greene	918	94.44	52	5.35	2	0.21	0	0.00	0	0.00	866	89.09	972
Gwinnett	2616	96.60	91	3.36	0	0.00	1	0.04	0	0.00	2525	93.24	2708
Habersham	1693	86.95	225	11.56	15	0.77	14	0.72	0	0.00	1468	75.40	1947
Hall	2649	95.29	120	4.32	11	0.40	0	0.00	0	0.00	2529	90.97	2780
Hancock	529	96.01	18	3.27	4	0.73	0	0.00	0	0.00	511	92.74	551
Haralson	1278	85.14	223	14.86	0	0.00	0	0.00	0	0.00	1055	70.29	1501
Harris	851	97.26	21	2.40	3	0.34	0	0.00	0	0.00	830	94.86	875
Hart	1261	98.98	12	0.94	1	0.08	0	0.00	0	0.00	1249	98.04	1274
Heard	989	97.34	24	2.36	3	0.30	0	0.00	0	0.00	965	94.98	1016
Henry	1496	97.65	21	1.37	15	0.98	0	0.00	0	0.00	1475	96.28	1532
Houston	460	94.46	27	5.54	0	0.00	0	0.00	0	0.00	433	88.91	487
Irwin	1416	98.40	22	1.53	1	0.07	0	0.00	0	0.00	1394	96.87	1439
Jackson	1389	93.54	80	5.39	12	0.81	4	0.27	0	0.00	1309	88.15	1485
Jasper	773	97.85	14	1.77	3	0.38	0	0.00	0	0.00	759	96.08	790
Jeff_Davis	1179	95.70	50	4.06	3	0.24	0	0.00	0	0.00	1129	91.64	1232
Jefferson	1454	94.66	65	4.23	16	1.04	1	0.07	0	0.00	1389	90.43	1536
Jenkins	510	96.23	20	3.77	0	0.00	0	0.00	0	0.00	490	92.45	530
Johnson	1314	98.06	18	1.34	8	0.60	0	0.00	0	0.00	1296	96.72	1340
Jones	553	99.46	0	0.00	2	0.36	1	0.18	0	0.00	551	99.10	556
Lamar	714	94.69	33	4.38	4	0.53	3	0.40	0	0.00	681	90.32	754
Lanier	211	97.24	3	1.38	3	1.38	0	0.00	0	0.00	208	95.85	217
Laurens	2188	98.25	38	1.71	1	0.04	0	0.00	0	0.00	2150	96.54	2227
Lee	252	97.67	6	2.33	0	0.00	0	0.00	0	0.00	246	95.35	258
