Appling	381	59.72	94	14.73	150	23.51	13	2.04	231	36.21	638
Baker	180	93.75	0	0.00	12	6.25	0	0.00	168	87.50	192
Baldwin	621	89.74	24	3.47	47	6.79	0	0.00	574	82.95	692
Banks	274	54.15	17	3.36	215	42.49	0	0.00	59	11.66	506
Bartow	1017	60.86	93	5.57	561	33.57	0	0.00	456	27.29	1671
Ben_Hill	535	64.30	34	4.09	263	31.61	0	0.00	272	32.69	832
Berrien	709	86.67	35	4.28	70	8.56	4	0.49	639	78.12	818
Bibb	2526	91.19	122	4.40	90	3.25	32	1.16	2404	86.79	2770
Brooks	695	89.79	37	4.78	42	5.43	0	0.00	653	84.37	774
Bryan	236	86.13	23	8.39	15	5.47	0	0.00	213	77.74	274
Bulloch	932	93.48	17	1.71	44	4.41	4	0.40	888	89.07	997
Burke	440	90.72	22	4.54	22	4.54	1	0.21	418	86.19	485
Butts	490	85.96	29	5.09	49	8.60	2	0.35	441	77.37	570
Calhoun	328	96.76	5	1.47	6	1.77	0	0.00	322	94.99	339
Camden	219	98.21	2	0.90	2	0.90	0	0.00	217	97.31	223
Candler	443	80.11	6	1.08	104	18.81	0	0.00	339	61.30	553
Carroll	1192	69.30	81	4.71	431	25.06	16	0.93	761	44.24	1720
Catoosa	286	60.34	63	13.29	125	26.37	0	0.00	161	33.97	474
Charlton	150	67.26	23	10.31	48	21.52	2	0.90	102	45.74	223
Chatham	3274	84.36	238	6.13	332	8.55	37	0.95	2942	75.81	3881
Chattahoochee	137	91.95	1	0.67	11	7.38	0	0.00	126	84.56	149
Chattooga	578	66.59	69	7.95	220	25.35	1	0.12	358	41.24	868
Cherokee	603	44.93	21	1.56	710	52.91	8	0.60	-107	-7.97	1342
Clarke	950	86.44	66	6.01	81	7.37	2	0.18	869	79.07	1099
Clay	369	93.65	8	2.03	17	4.31	0	0.00	352	89.34	394
Clayton	443	79.11	3	0.54	113	20.18	1	0.18	330	58.93	560
Clinch	283	83.24	48	14.12	9	2.65	0	0.00	235	69.12	340
Cobb	1519	75.76	41	2.04	442	22.04	3	0.15	1077	53.72	2005
Coffee	895	87.32	28	2.73	85	8.29	17	1.66	810	79.02	1025
Colquitt	699	56.88	8	0.65	506	41.17	16	1.30	193	15.70	1229
Columbia	234	87.97	2	0.75	30	11.28	0	0.00	204	76.69	266
Coweta	1044	92.80	35	3.11	46	4.09	0	0.00	998	88.71	1125
Crawford	249	97.65	1	0.39	3	1.18	2	0.78	246	96.47	255
Crisp	644	91.87	12	1.71	45	6.42	0	0.00	599	85.45	701
Dade	243	75.00	18	5.56	44	13.58	19	5.86	199	61.42	324
Dawson	170	47.49	23	6.42	161	44.97	4	1.12	9	2.51	358
Decatur	1150	71.12	52	3.22	378	23.38	37	2.29	772	47.74	1617
DeKalb	837	84.46	44	4.44	65	6.56	45	4.54	772	77.90	991
Dodge	637	86.08	12	1.62	28	3.78	63	8.51	609	82.30	740
Dooly	608	94.12	5	0.77	33	5.11	0	0.00	575	89.01	646
Dougherty	731	94.81	21	2.72	19	2.46	0	0.00	710	92.09	771
Douglas	266	45.01	18	3.05	307	51.95	0	0.00	-41	-6.94	591
Early	501	87.74	7	1.23	27	4.73	36	6.30	474	83.01	571
Echols	144	97.30	0	0.00	4	2.70	0	0.00	140	94.59	148
Effingham	343	95.81	5	1.40	10	2.79	0	0.00	333	93.02	358
Elbert	882	77.85	13	1.15	238	21.01	0	0.00	644	56.84	1133
Emanuel	715	81.81	22	2.52	129	14.76	8	0.92	586	67.05	874
Fannin	451	48.81	168	18.18	305	33.01	0	0.00	146	15.80	924
Fayette	369	77.20	12	2.51	95	19.87	2	0.42	274	57.32	478
Floyd	1837	80.75	63	2.77	374	16.44	1	0.04	1463	64.31	2275
Forsyth	235	56.90	15	3.63	163	39.47	0	0.00	72	17.43	413
Franklin	694	66.03	26	2.47	331	31.49	0	0.00	363	34.54	1051
Fulton	7317	75.78	509	5.27	1696	17.57	133	1.38	5621	58.22	9655
Gilmer	488	74.28	52	7.91	116	17.66	1	0.15	372	56.62	657
Glascock	101	57.39	3	1.70	72	40.91	0	0.00	29	16.48	176
Glynn	470	88.51	16	3.01	30	5.65	15	2.82	440	82.86	531
Gordon	597	45.96	52	4.00	650	50.04	0	0.00	-53	-4.08	1299
Grady	453	79.06	21	3.66	98	17.10	1	0.17	355	61.95	573
Greene	525	76.64	10	1.46	150	21.90	0	0.00	375	54.74	685
Gwinnett	997	60.68	55	3.35	590	35.91	1	0.06	407	24.77	1643
Habersham	497	58.54	42	4.95	310	36.51	0	0.00	187	22.03	849
Hall	1145	74.01	116	7.50	275	17.78	11	0.71	870	56.24	1547
Hancock	549	91.50	12	2.00	39	6.50	0	0.00	510	85.00	600
Haralson	384	34.13	19	1.69	701	62.31	21	1.87	-317	-28.18	1125
Harris	585	94.66	4	0.65	28	4.53	1	0.16	557	90.13	618
Hart	484	61.27	15	1.90	291	36.84	0	0.00	193	24.43	790
Heard	326	81.09	11	2.74	65	16.17	0	0.00	261	64.93	402
Henry	536	79.06	15	2.21	127	18.73	0	0.00	409	60.32	678
Houston	760	95.00	24	3.00	16	2.00	0	0.00	736	92.00	800
Irwin	428	89.17	6	1.25	45	9.38	1	0.21	383	79.79	480
Jackson	1108	65.02	45	2.64	551	32.34	0	0.00	557	32.69	1704
Jasper	644	96.99	12	1.81	8	1.20	0	0.00	632	95.18	664
Jeff_Davis	268	79.06	19	5.60	52	15.34	0	0.00	216	63.72	339
Jefferson	416	71.85	8	1.38	153	26.42	2	0.35	263	45.42	579
Jenkins	279	90.88	13	4.23	15	4.89	0	0.00	264	85.99	307
Johnson	285	71.25	23	5.75	92	23.00	0	0.00	193	48.25	400
Jones	426	93.42	27	5.92	3	0.66	0	0.00	399	87.50	456
Laurens	1118	89.44	26	2.08	106	8.48	0	0.00	1012	80.96	1250
Lee	210	93.33	9	4.00	6	2.67	0	0.00	201	89.33	225
Liberty	251	70.31	29	8.12	77	21.57	0	0.00	174	48.74	357
Lincoln	253	90.68	0	0.00	26	9.32	0	0.00	227	81.36	279
Lowndes	847	91.87	24	2.60	35	3.80	16	1.74	812	88.07	922
Lumpkin	279	65.34	29	6.79	119	27.87	0	0.00	160	37.47	427
Macon	411	79.81	19	3.69	85	16.50	0	0.00	326	63.30	515
Madison	564	78.01	13	1.80	146	20.19	0	0.00	418	57.81	723
Marion	233	77.41	17	5.65	51	16.94	0	0.00	182	60.47	301
