Appling	2179	75.35	713	24.65	1466	50.69	2892
Atkinson	1560	88.94	194	11.06	1366	77.88	1754
Bacon	1512	73.58	543	26.42	969	47.15	2055
Baker	1005	86.64	155	13.36	850	73.28	1160
Baldwin	2318	69.38	1023	30.62	1295	38.76	3341
Banks	1255	86.02	204	13.98	1051	72.04	1459
Barrow	2367	90.93	236	9.07	2131	81.87	2603
Bartow	3973	77.06	1183	22.94	2790	54.11	5156
Ben_Hill	2048	74.61	697	25.39	1351	49.22	2745
Berrien	2187	85.73	364	14.27	1823	71.46	2551
Bibb	14687	70.58	6121	29.42	8566	41.17	20808
Bleckley	1517	89.03	187	10.97	1330	78.05	1704
Brantley	1082	79.68	276	20.32	806	59.35	1358
Brooks	1866	69.99	800	30.01	1066	39.98	2666
Bryan	971	74.58	331	25.42	640	49.16	1302
Bulloch	3619	79.92	909	20.08	2710	59.85	4528
Burke	1160	55.45	932	44.55	228	10.90	2092
Butts	1910	91.00	189	9.00	1721	81.99	2099
Calhoun	810	84.64	147	15.36	663	69.28	957
Camden	1285	67.49	619	32.51	666	34.98	1904
Candler	1448	77.43	422	22.57	1026	54.87	1870
Carroll	5207	81.35	1194	18.65	4013	62.69	6401
Catoosa	2227	61.90	1371	38.10	856	23.79	3598
Charlton	815	73.89	288	26.11	527	47.78	1103
Chatham	14370	48.06	15532	51.94	-1162	-3.89	29902
Chattahoochee	116	61.38	73	38.62	43	22.75	189
Chattooga	3616	82.43	771	17.57	2845	64.85	4387
Cherokee	2452	60.25	1618	39.75	834	20.49	4070
Clarke	4904	75.54	1588	24.46	3316	51.08	6492
Clay	481	73.21	176	26.79	305	46.42	657
Clayton	4058	76.74	1230	23.26	2828	53.48	5288
Clinch	1168	76.94	350	23.06	818	53.89	1518
Cobb	10182	70.98	4163	29.02	6019	41.96	14345
Coffee	3292	75.33	1078	24.67	2214	50.66	4370
Colquitt	4517	76.20	1411	23.80	3106	52.40	5928
Columbia	849	61.57	530	38.43	319	23.13	1379
Cook	2347	85.59	395	14.41	1952	71.19	2742
Coweta	3837	85.48	652	14.52	3185	70.95	4489
Crawford	948	86.73	145	13.27	803	73.47	1093
Crisp	2116	69.04	949	30.96	1167	38.08	3065
Dade	1296	65.39	686	34.61	610	30.78	1982
Dawson	770	62.10	470	37.90	300	24.19	1240
Decatur	2581	72.05	1001	27.95	1580	44.11	3582
De_Kalb	20865	57.24	15588	42.76	5277	14.48	36453
Dodge	3445	88.36	454	11.64	2991	76.71	3899
Dooly	1764	89.95	197	10.05	1567	79.91	1961
Dougherty	4435	63.63	2535	36.37	1900	27.26	6970
Douglas	2102	76.52	645	23.48	1457	53.04	2747
Early	1803	85.45	307	14.55	1496	70.90	2110
Echols	532	84.98	94	15.02	438	69.97	626
Effingham	800	49.11	829	50.89	-29	-1.78	1629
Elbert	3279	85.59	552	14.41	2727	71.18	3831
Emanuel	2642	79.99	661	20.01	1981	59.98	3303
Evans	1224	73.87	433	26.13	791	47.74	1657
Fannin	1913	39.71	2904	60.29	-991	-20.57	4817
Fayette	1214	86.16	195	13.84	1019	72.32	1409
Floyd	8477	65.16	4532	34.84	3945	30.33	13009
Forsyth	1391	72.18	536	27.82	855	44.37	1927
Franklin	2902	88.61	373	11.39	2529	77.22	3275
Fulton	52459	59.85	35197	40.15	17262	19.69	87656
Gilmer	1359	50.65	1324	49.35	35	1.30	2683
Glascock	381	62.05	233	37.95	148	24.10	614
Glynn	3348	56.53	2575	43.47	773	13.05	5923
Gordon	2203	71.46	880	28.54	1323	42.91	3083
Grady	2782	81.23	643	18.77	2139	62.45	3425
Greene	2323	85.40	397	14.60	1926	70.81	2720
Gwinnett	6026	85.58	1015	14.42	5011	71.17	7041
Habersham	2647	74.19	921	25.81	1726	48.37	3568
Hall	6121	76.84	1845	23.16	4276	53.68	7966
Hancock	1245	82.34	267	17.66	978	64.68	1512
Haralson	2283	64.36	1264	35.64	1019	28.73	3547
Harris	1374	71.64	544	28.36	830	43.27	1918
Hart	3244	94.08	204	5.92	3040	88.17	3448
Heard	1189	86.60	184	13.40	1005	73.20	1373
Henry	2589	82.40	553	17.60	2036	64.80	3142
Houston	2789	84.52	511	15.48	2278	69.03	3300
Irwin	1475	74.08	516	25.92	959	48.17	1991
Jackson	3341	89.09	409	10.91	2932	78.19	3750
Jasper	1105	82.90	228	17.10	877	65.79	1333
Jeff_Davis	1323	78.28	367	21.72	956	56.57	1690
