County DEM_PCT DEM_NUM GOP_PCT GOP_NUM POP_PCT POP_NUM PRO_PCT PRO_NUM SOC_PCT SOC_NUM Margin_PCT Margin_NUM 
Currituck	94.27	543	5.73	33	0.00	0	0.00	0	0.00	0	88.54	510
New_Hanover	93.23	1254	6.77	91	0.00	0	0.00	0	0.00	0	86.47	1163
Halifax	93.06	2427	6.94	181	0.00	0	0.00	0	0.00	0	86.12	2246
Northampton	92.86	1509	7.14	116	0.00	0	0.00	0	0.00	0	85.72	1393
Edgecombe	90.07	1588	7.15	126	2.72	48	0.06	1	0.00	0	82.93	1462
Scotland	90.86	646	9.14	65	0.00	0	0.00	0	0.00	0	81.72	581
Franklin	88.16	2099	11.84	282	0.00	0	0.00	0	0.00	0	76.31	1817
Martin	86.79	1419	13.21	216	0.00	0	0.00	0	0.00	0	73.58	1203
Warren	85.35	1060	13.29	165	1.37	17	0.00	0	0.00	0	72.06	895
Craven	85.30	1555	14.70	268	0.00	0	0.00	0	0.00	0	70.60	1287
Anson	84.90	1226	14.34	207	0.76	11	0.00	0	0.00	0	70.57	1019
Pender	84.31	903	15.69	168	0.00	0	0.00	0	0.00	0	68.63	735
Pitt	83.93	2329	15.46	429	0.54	15	0.07	2	0.00	0	68.47	1900
Bertie	83.16	1264	16.58	252	0.26	4	0.00	0	0.00	0	66.58	1012
Caswell	81.30	874	18.70	201	0.00	0	0.00	0	0.00	0	62.60	673
Hertford	80.29	778	19.20	186	0.52	5	0.00	0	0.00	0	61.09	592
Mecklenburg	79.87	3142	19.01	748	0.84	33	0.25	10	0.03	1	60.85	2394
Camden	79.71	389	20.29	99	0.00	0	0.00	0	0.00	0	59.43	290
Chowan	79.47	573	20.53	148	0.00	0	0.00	0	0.00	0	58.95	425
Pasquotank	77.37	947	22.47	275	0.08	1	0.08	1	0.00	0	54.90	672
Greene	77.03	949	22.97	283	0.00	0	0.00	0	0.00	0	54.06	666
Granville	75.27	1595	24.45	518	0.28	6	0.00	0	0.00	0	50.83	1077
Union	74.75	1181	23.99	379	1.27	20	0.00	0	0.00	0	50.76	802
Richmond	75.18	927	24.82	306	0.00	0	0.00	0	0.00	0	50.36	621
Wake	72.55	3410	26.96	1267	0.34	16	0.15	7	0.00	0	45.60	2143
Jones	71.77	638	28.12	250	0.11	1	0.00	0	0.00	0	43.64	388
Gates	71.26	677	28.74	273	0.00	0	0.00	0	0.00	0	42.53	404
Robeson	69.71	2274	30.10	982	0.18	6	0.00	0	0.00	0	39.61	1292
