Alabama AL 12 166593 7.20318 3.94712
Alaska AK 0 0 0 0
Arizona AZ 3 73961 4.05619 2.22267
Arkansas AR 9 138532 6.49669 3.55999
California CA 13 1281900 1.01412 0.555707
Colorado CO 6 342260 1.75305 0.960617
Connecticut CT 7 400295 1.74871 0.958239
Delaware DE 3 90885 3.30087 1.80878
Florida FL 6 109154 5.49682 3.01209
Georgia GA 14 166577 8.40452 4.60542
Hawaii HI 0 0 0 0
Idaho ID 4 148295 2.69732 1.47805
Illinois IL 29 2470067 1.17406 0.643349
Indiana IN 15 1272390 1.17888 0.64599
Iowa IA 13 976960 1.33066 0.729161
Kansas KS 10 662454 1.50954 0.827181
Kentucky KY 13 815332 1.59444 0.873704
Louisiana LA 10 121951 8.20001 4.49335
Maine ME 6 192192 3.12188 1.71069
Maryland MD 8 358630 2.23071 1.22236
Massachusetts MA 18 1129837 1.59315 0.872997
Michigan MI 15 1160419 1.29264 0.708327
Minnesota MN 12 822146 1.45959 0.79981
Mississippi MS 10 112462 8.89188 4.87248
Missouri MO 18 1307958 1.37619 0.75411
Montana MT 4 174423 2.29327 1.25664
Nebraska NE 8 464173 1.72349 0.944419
Nevada NV 3 26921 11.1437 6.1064
New_Hampshire NH 4 164769 2.42764 1.33027
New_Jersey NJ 14 1086079 1.28904 0.706354
New_Mexico NM 3 112830 2.65886 1.45697
New_York NY 45 3263939 1.3787 0.755485
North_Carolina NC 12 482687 2.48608 1.3623
North_Dakota ND 5 199081 2.51154 1.37625
Ohio OH 24 2016237 1.19034 0.65227
Oklahoma OK 10 528415 1.89245 1.037
Oregon OR 5 279488 1.78898 0.980306
Pennsylvania PA 38 2144850 1.77169 0.970832
Rhode_Island RI 5 210115 2.37965 1.30397
South_Carolina SC 9 50752 17.7333 9.7173
South_Dakota SD 5 203868 2.45257 1.34393
Tennessee TN 12 300275 3.99634 2.18987
Texas TX 20 657509 3.04178 1.6668
Utah UT 4 156990 2.54793 1.39619
Vermont VT 4 102917 3.88662 2.12975
Virginia VA 12 223602 5.36668 2.94078
Washington WA 7 421549 1.66054 0.909925
West_Virginia WV 8 583662 1.37066 0.751079
Wisconsin WI 13 840826 1.5461 0.847215
Wyoming WY 3 79900 3.75469 2.05745
TOTALS: US 531 29097107 1.82492 1
