Alabama AL 11 275244 3.99645 3.43556
Alaska AK 0 0 0 0
Arizona AZ 3 124163 2.41618 2.07708
Arkansas AR 9 179423 5.01608 4.31209
California CA 22 2638882 0.833686 0.716681
Colorado CO 6 488684 1.22779 1.05547
Connecticut CT 8 690723 1.15821 0.995659
Delaware DE 3 127603 2.35104 2.02108
Florida FL 7 327365 2.13829 1.83819
Georgia GA 12 293175 4.09312 3.51866
Hawaii HI 0 0 0 0
Idaho ID 4 199617 2.00384 1.72261
Illinois IL 29 3956522 0.732967 0.630097
Indiana IN 14 1650897 0.848024 0.729006
Iowa IA 11 1142733 0.962604 0.827505
Kansas KS 9 865014 1.04045 0.894426
Kentucky KY 11 926203 1.18764 1.02096
Louisiana LA 10 329778 3.03234 2.60676
Maine ME 5 304240 1.64344 1.41279
Maryland MD 8 624896 1.28021 1.10054
Massachusetts MA 17 1840357 0.923734 0.794091
Michigan MI 19 1805098 1.05257 0.904845
Minnesota MN 11 1129975 0.973473 0.836849
Mississippi MS 9 162090 5.55247 4.7732
Missouri MO 15 1828635 0.820284 0.70516
Montana MT 4 230512 1.73527 1.49173
Nebraska NE 7 608023 1.15127 0.989693
Nevada NV 3 43848 6.8418 5.88157
New_Hampshire NH 4 218114 1.8339 1.57652
New_Jersey NJ 16 1820437 0.87891 0.755558
New_Mexico NM 3 169176 1.7733 1.52442
New_York NY 47 5596398 0.839826 0.721959
North_Carolina NC 13 839464 1.54861 1.33127
North_Dakota ND 4 273716 1.46137 1.25627
Ohio OH 26 3012589 0.863045 0.741919
Oklahoma OK 11 749740 1.46718 1.26127
Oregon OR 5 414021 1.20767 1.03818
Pennsylvania PA 36 4138426 0.869896 0.747809
Rhode_Island RI 4 311178 1.28544 1.10503
South_Carolina SC 8 115437 6.93018 5.95755
South_Dakota SD 4 296472 1.3492 1.15984
Tennessee TN 11 476538 2.30831 1.98435
Texas TX 23 843482 2.72679 2.34409
Utah UT 4 216677 1.84606 1.58697
Vermont VT 3 143689 2.08784 1.79482
Virginia VA 11 334590 3.2876 2.8262
Washington WA 8 692338 1.1555 0.993329
West_Virginia WV 8 829945 0.963919 0.828636
Wisconsin WI 12 1258560 0.953471 0.819654
Wyoming WY 3 103382 2.90186 2.49459
TOTALS: US 531 45647699 1.16326 1
