Alabama AL 11 232543 4.73031 1.28571
Alaska AK 0 0 0 0
Arizona AZ 0 0 0 0
Arkansas AR 8 148117 5.40113 1.46804
California CA 9 269609 3.33817 0.907323
Colorado CO 4 93891 4.26025 1.15795
Connecticut CT 6 164595 3.64531 0.990805
Delaware DE 3 37235 8.05691 2.18989
Florida FL 4 35471 11.2768 3.06506
Georgia GA 13 223126 5.8263 1.5836
Hawaii HI 0 0 0 0
Idaho ID 3 19407 15.4583 4.20161
Illinois IL 24 873647 2.7471 0.746669
Indiana IN 15 553613 2.70947 0.736441
Iowa IA 13 443159 2.93348 0.797328
Kansas KS 10 324905 3.07782 0.83656
Kentucky KY 13 340864 3.81384 1.03661
Louisiana LA 8 114889 6.96324 1.89263
Maine ME 6 116451 5.15238 1.40043
Maryland MD 8 213275 3.75102 1.01954
Massachusetts MA 15 391028 3.83604 1.04265
Michigan MI 2 466045 0.429143 0.116642
Minnesota MN 9 267238 3.36778 0.915372
Mississippi MS 9 52519 17.1366 4.65777
Missouri MO 17 541583 3.13895 0.853175
Montana MT 3 44461 6.74747 1.83398
Nebraska NE 8 200192 3.99616 1.08617
Nevada NV 3 10878 27.5783 7.49586
New_Hampshire NH 4 89329 4.47782 1.21708
New_Jersey NJ 10 337623 2.96188 0.805047
New_Mexico NM 0 0 0 0
New_York NY 36 1336793 2.69301 0.731967
North_Carolina NC 11 280270 3.92479 1.06677
North_Dakota ND 3 36118 8.30608 2.25761
Ohio OH 23 850164 2.70536 0.735324
Oklahoma OK 0 0 0 0
Oregon OR 4 78491 5.09612 1.38514
Pennsylvania PA 32 1003010 3.1904 0.867159
Rhode_Island RI 4 53196 7.51935 2.04378
South_Carolina SC 9 70504 12.7652 3.46962
South_Dakota SD 4 70513 5.6727 1.54185
Tennessee TN 12 265732 4.51583 1.22741
Texas TX 15 422145 3.55328 0.965791
Utah UT 0 0 0 0
Vermont VT 4 55796 7.16896 1.94854
Virginia VA 12 292238 4.10624 1.11609
Washington WA 4 87969 4.54705 1.2359
West_Virginia WV 6 171079 3.50715 0.953253
Wisconsin WI 12 371581 3.22944 0.87777
Wyoming WY 3 16735 17.9264 4.87244
TOTALS: US 444 12068027 3.67914 1
