Alabama AL 11 108785 10.1117 2.87315
Alaska AK 0 0 0 0
Arizona AZ 0 0 0 0
Arkansas AR 9 116421 7.73056 2.19657
California CA 10 331878 3.01315 0.856159
Colorado CO 5 243667 2.05198 0.583052
Connecticut CT 7 191128 3.66247 1.04066
Delaware DE 3 43856 6.84055 1.94368
Florida FL 5 38705 12.9182 3.67059
Georgia GA 13 130986 9.92472 2.82002
Hawaii HI 0 0 0 0
Idaho ID 3 72578 4.13348 1.17449
Illinois IL 27 1076499 2.50813 0.712662
Indiana IN 15 682185 2.19882 0.624775
Iowa IA 13 486093 2.67438 0.759901
Kansas KS 10 328561 3.04357 0.864803
Kentucky KY 13 435946 2.98202 0.847314
Louisiana LA 9 53908 16.6951 4.74376
Maine ME 6 97023 6.18409 1.75715
Maryland MD 8 224229 3.56778 1.01375
Massachusetts MA 16 445109 3.59462 1.02138
Michigan MI 14 525027 2.66653 0.75767
Minnesota MN 11 292860 3.75606 1.06725
Mississippi MS 10 58721 17.0297 4.83884
Missouri MO 18 643861 2.79563 0.794353
Montana MT 3 64444 4.6552 1.32273
Nebraska NE 8 225732 3.54402 1.007
Nevada NV 3 12115 24.7625 7.03604
New_Hampshire NH 4 90161 4.4365 1.26059
New_Jersey NJ 12 432547 2.77426 0.788281
New_Mexico NM 0 0 0 0
New_York NY 39 1617770 2.41073 0.684987
North_Carolina NC 12 207818 5.77428 1.64071
North_Dakota ND 4 70014 5.71313 1.62333
Ohio OH 23 1004393 2.28994 0.650666
Oklahoma OK 0 0 0 0
Oregon OR 4 90154 4.43685 1.26069
Pennsylvania PA 34 1236738 2.74917 0.781152
Rhode_Island RI 4 68656 5.82614 1.65544
South_Carolina SC 9 55118 16.3286 4.63962
South_Dakota SD 4 101395 3.94496 1.12092
Tennessee TN 12 242750 4.94336 1.40461
Texas TX 18 234008 7.69204 2.18562
Utah UT 3 101672 2.95066 0.838403
Vermont VT 4 51888 7.7089 2.19041
Virginia VA 12 130410 9.20174 2.61459
Washington WA 5 145151 3.44469 0.978778
West_Virginia WV 7 239986 2.91684 0.828794
Wisconsin WI 13 443441 2.93162 0.832993
Wyoming WY 3 30708 9.76941 2.77589
TOTALS: US 476 13525095 3.51938 1
