State 1872 1876 1880 1884 1888 1892 1896 1900 1904 1908 1912 1916 1920 1924 1928 1932 1936 1940 1944 1948 1952 1956 1960
Missouri	5.49332	4.27826	3.74709	3.62591	3.0689	3.13895	2.52261	2.48663	2.79563	2.51422	2.57671	2.28784	1.35054	1.37619	1.19942	0.931738	0.820284	0.818005	0.953911	0.950192	0.687081	0.709389	0.672035
Montana	0	0	0	0	0	6.74747	5.62534	4.69806	4.6552	4.35906	5.01089	2.25125	2.23456	2.29327	2.06071	1.84775	1.73527	1.61373	1.92906	1.7835	1.50922	1.47508	1.44103
Nebraska	11.5687	6.08173	3.43045	3.72572	2.46753	3.99616	3.58452	3.31359	3.54402	2.99851	3.20663	2.7844	2.09017	1.72349	1.46214	1.22777	1.15127	1.13659	1.06548	1.22714	0.984155	1.03961	0.978641
Nevada	20.4791	15.2353	16.3531	23.4428	24.4337	27.5783	29.0864	29.423	24.7625	12.2319	14.9142	9.00466	11.0318	11.1437	9.25438	7.24111	6.8418	5.64184	5.53158	4.82959	3.65007	3.10273	2.79676
New_Hampshire	7.25625	6.239	5.79011	4.72891	4.40358	4.47782	4.78068	4.33069	4.4365	4.46428	4.54746	4.48797	2.51427	2.42764	2.03296	1.94628	1.8339	1.6991	1.74197	1.72831	1.46547	1.49816	1.35244
New_Jersey	5.35357	4.08732	3.65961	3.44932	2.96246	2.96188	2.69388	2.49345	2.77426	2.56898	3.23521	2.83147	1.54877	1.28904	0.904279	0.981892	0.87891	0.810449	0.814763	0.8207	0.661279	0.644041	0.576969
New_Mexico	0	0	0	0	0	0	0	0	0	0	6.07581	4.49189	2.84614	2.65886	2.54207	1.97881	1.7733	1.63704	2.62769	2.13832	1.67639	1.57526	1.28573
New_York	4.22695	3.44657	3.17045	3.08439	2.72779	2.69301	2.52831	2.32552	2.41073	2.38044	2.83319	2.63728	1.55252	1.3787	1.02142	1.00243	0.839826	0.745843	0.744049	0.760846	0.631292	0.634441	0.617193
North_Carolina	6.05462	4.27513	4.1458	4.09903	3.85204	3.92479	3.31988	3.76045	5.77428	4.75146	4.92255	4.14026	2.22741	2.48608	1.88932	1.82712	1.54861	1.58026	1.77091	1.76944	1.15616	1.20111	1.02298
North_Dakota	0	0	0	0	0	8.30608	6.3303	5.19111	5.71313	4.23168	5.775	4.33313	2.42983	2.51154	2.08449	1.56073	1.46137	1.42463	1.81677	1.81228	1.48078	1.57486	1.43662
Ohio	4.15536	3.34017	3.03462	2.93139	2.73692	2.70536	2.26758	2.21138	2.28994	2.05073	2.31416	2.05993	1.18715	1.19034	0.956806	0.996272	0.863045	0.783153	0.792882	0.851478	0.675537	0.675262	0.600693
Oklahoma	0	0	0	0	0	0	0	0	0	2.72461	3.94009	3.41585	2.05503	1.89245	1.61701	1.5611	1.46718	1.33138	1.38382	1.38581	0.843007	0.930936	0.885789
Oregon	14.8905	10.0398	7.3495	5.69453	4.8502	5.09612	4.10618	4.80474	4.43685	3.60721	3.64857	1.91095	2.09624	1.78898	1.56278	1.35572	1.20767	1.03898	1.24962	1.14486	0.863236	0.815664	0.772777
