Alabama AL 11 496871 2.21385 2.5858
Alaska AK 0 0 0 0
Arizona AZ 4 290173 1.37849 1.61009
Arkansas AR 8 406572 1.96767 2.29826
California CA 32 5466355 0.585399 0.683752
Colorado CO 6 663074 0.904876 1.0569
Connecticut CT 8 1117121 0.716126 0.836442
Delaware DE 3 177988 1.68551 1.96869
Florida FL 10 1124220 0.889506 1.03895
Georgia GA 12 663480 1.80865 2.11252
Hawaii HI 0 0 0 0
Idaho ID 4 272989 1.46526 1.71144
Illinois IL 27 4407407 0.612605 0.715529
Indiana IN 13 1974607 0.658359 0.76897
Iowa IA 10 1234564 0.810002 0.94609
Kansas KS 8 866243 0.923528 1.07869
Kentucky KY 10 1053805 0.948942 1.10837
Louisiana LA 10 617544 1.61932 1.89138
Maine ME 5 351706 1.42164 1.66049
Maryland MD 9 932351 0.965302 1.12748
Massachusetts MA 16 2348506 0.681284 0.795747
Michigan MI 20 3080468 0.649252 0.758333
Minnesota MN 11 1340005 0.820892 0.95881
Mississippi MS 8 248149 3.22387 3.76551
Missouri MO 13 1832562 0.709389 0.828573
Montana MT 4 271171 1.47508 1.72291
Nebraska NE 6 577137 1.03961 1.21427
Nevada NV 3 96689 3.10273 3.62402
New_Hampshire NH 4 266994 1.49816 1.74987
New_Jersey NJ 16 2484312 0.644041 0.752246
New_Mexico NM 4 253926 1.57526 1.83992
New_York NY 45 7092860 0.634441 0.741033
North_Carolina NC 14 1165592 1.20111 1.40291
North_Dakota ND 4 253991 1.57486 1.83945
Ohio OH 25 3702265 0.675262 0.788713
Oklahoma OK 8 859350 0.930936 1.08734
Oregon OR 6 735597 0.815664 0.952704
Pennsylvania PA 32 4576503 0.699224 0.816701
Rhode_Island RI 4 387609 1.03197 1.20535
South_Carolina SC 8 300583 2.66149 3.10865
South_Dakota SD 4 293857 1.36121 1.58991
Tennessee TN 11 939404 1.17096 1.36769
Texas TX 24 1955545 1.22728 1.43348
Utah UT 4 333995 1.19762 1.39883
Vermont VT 3 152978 1.96107 2.29055
Virginia VA 12 697978 1.71925 2.0081
Washington WA 9 1150889 0.782004 0.913389
West_Virginia WV 8 830831 0.962891 1.12467
Wisconsin WI 12 1550558 0.773915 0.903941
Wyoming WY 3 124127 2.41688 2.82294
TOTALS: US 531 62021328 0.856157 1
