Alabama	11	207910	84.74	11	34675	14.13	–	2030	0.83	–	739	0.30	–	173235	70.61	245354	AL
Arizona	3	79264	67.03	3	36104	30.53	–	2618	2.21	–	265	0.22	–	43160	36.50	118251	AZ
Arkansas	9	189602	85.96	9	28467	12.91	–	1269	0.58	–	1224	0.55	–	161135	73.06	220562	AR
California	22	1324157	58.39	22	847902	37.39	–	63299	2.79	–	32608	1.44	–	476255	21.00	2267966	CA
Colorado	6	250877	54.81	6	189617	41.43	–	13591	2.97	–	3611	0.79	–	61260	13.38	457696	CO
Connecticut	8	281632	47.40	–	288420	48.54	8	20840	3.45	–	3651	0.61	–	−6788	−1.14	594183	CT
Delaware	3	54319	48.11	–	57073	50.55	3	1376	1.22	–	133	0.12	–	−2754	−2.44	112901	DE
Florida	7	206307	74.68	7	69170	25.04	–	775	0.28	–	–	–	–	137137	49.64	276252	FL
Georgia	12	234118	91.60	12	19863	7.77	–	461	0.18	–	1148	0.45	–	214255	83.83	255590	GA
Idaho	4	109479	58.66	4	71417	38.27	–	526	0.28	–	5203	2.79	–	38062	20.39	186625	ID
Illinois	29	1882304	55.23	29	1432756	42.04	–	67258	1.97	–	25608	0.75	–	449548	13.19	3407926	IL
Indiana	14	862054	54.67	14	677184	42.94	–	21388	1.36	–	16301	1.03	–	184870	11.72	1576927	IN
Iowa	11	598019	57.69	11	414433	39.98	–	20467	1.97	–	3768	0.36	–	183586	17.71	1036687	IA
Kansas	9	424204	53.56	9	349498	44.13	–	18276	2.31	–	–	–	–	74706	9.43	791978	KS
Kentucky	11	580574	59.06	11	394716	40.15	–	3853	0.39	–	3920	0.40	–	185858	18.91	983063	KY
Louisiana	10	249418	92.79	10	18853	7.01	–	–	–	–	533	0.20	–	230565	85.77	268804	LA
Maine	5	128907	43.19	–	166631	55.83	5	2489	0.83	–	417	0.14	–	−37724	−12.64	298444	ME
Maryland	8	314314	61.50	8	184184	36.04	–	10489	2.05	–	2067	0.40	–	130130	25.46	511054	MD
Massachusetts	17	800148	50.64	17	736959	46.64	–	34305	2.17	–	8702	0.55	–	63189	4.00	1580114	MA
Michigan	19	871700	52.36	19	739894	44.44	–	39205	2.35	–	13966	0.84	–	131806	7.92	1664765	MI
Minnesota	11	600806	59.91	11	363959	36.29	–	25476	2.54	–	12602	1.26	–	236847	23.62	1002843	MN
Mississippi	9	140168	95.98	9	5180	3.55	–	686	0.47	–	–	–	–	134988	92.44	146034	MS
Missouri	15	1025406	63.69	15	564713	35.08	–	16374	1.02	–	3401	0.21	–	460693	28.62	1609894	MO
Montana	4	127286	58.80	4	78078	36.07	–	7891	3.65	–	3224	1.49	–	49208	22.73	216479	MT
Nebraska	7	359082	62.98	7	201177	35.29	–	9876	1.73	–	2	0.00	–	157905	27.70	570137	NE
Nevada	3	28756	69.41	3	12674	30.59	–	–	–	–	–	–	–	16082	38.82	41430	NV
New_Hampshire	4	100680	48.99	–	103629	50.42	4	947	0.46	–	264	0.13	–	−2949	−1.43	205520	NH
New_Jersey	16	806394	49.49	16	775406	47.59	–	42988	2.64	–	4719	0.29	–	30988	1.90	1629507	NJ
New_Mexico	3	95089	62.72	3	54217	35.76	–	1776	1.17	–	524	0.35	–	40872	26.96	151606	NM
New_York	47	2534959	54.07	47	1937963	41.33	–	177397	3.78	–	38295	0.82	–	596996	12.73	4688614	NY
North_Carolina	13	497566	69.93	13	208344	29.28	–	5591	0.79	–	–	–	–	289222	40.65	711501	NC
North_Dakota	4	178350	69.59	4	71772	28.00	–	3521	1.37	–	2647	1.03	–	106578	41.58	256290	ND
Ohio	26	1301695	49.88	26	1227319	47.03	–	64094	2.46	–	16620	0.64	–	74376	2.85	2609728	OH
Oklahoma	11	516468	73.30	11	188165	26.70	–	–	–	–	–	–	–	328303	46.59	704633	OK
Oregon	5	213871	57.99	5	136019	36.88	–	15450	4.19	–	3468	0.94	–	77852	21.11	368808	OR
Pennsylvania	36	1295948	45.33	–	1453540	50.84	36	91223	3.19	–	18466	0.65	–	−157592	−5.51	2859177	PA
Rhode_Island	4	146604	55.08	4	115266	43.31	–	3138	1.18	–	1162	0.44	–	31338	11.77	266170	RI
South_Carolina	8	102347	98.03	8	1978	1.89	–	82	0.08	–	–	–	–	100369	96.13	104407	SC
South_Dakota	4	183515	63.62	4	99212	34.40	–	1551	0.54	–	4160	1.44	–	84303	29.23	288438	SD
Tennessee	11	259473	66.49	11	126752	32.48	–	1796	0.46	–	2235	0.57	–	132721	34.01	390256	TN
Texas	23	760348	88.06	23	97959	11.35	–	4450	0.52	–	669	0.08	–	662389	76.72	863426	TX
Utah	4	116750	56.52	4	84795	41.05	–	4087	1.98	–	946	0.46	–	31955	15.47	206578	UT
Vermont	3	56266	41.08	–	78984	57.66	3	1533	1.12	–	197	0.14	–	−22718	−16.58	136980	VT
Virginia	11	203979	68.46	11	89637	30.09	–	2382	0.80	–	1944	0.65	–	114342	38.38	297942	VA
Washington	8	353260	57.46	8	208645	33.94	–	17080	2.78	–	35829	5.83	–	144615	23.52	614814	WA
West_Virginia	8	405124	54.47	8	330731	44.47	–	5133	0.69	–	2786	0.37	–	74393	10.00	743774	WV
Wisconsin	12	707410	63.46	12	347741	31.19	–	53379	4.79	–	6278	0.56	–	359669	32.26	1114808	WI
Wyoming	3	54370	56.07	3	39583	40.82	–	2829	2.92	–	180	0.19	–	14787	15.25	96962	WY
Total	531	22821277	57.41	472	15761254	39.65	59	884885	2.23	–	284482	0.72	7060023	17.76	39751898	US
