Alabama	10	92736	60.37	10	59444	38.69	–	610	0.40	–	762	0.50	–	33292	21.67	153624	AL
Arkansas	7	72734	57.83	7	51198	40.70	–	–	–	–	1847	1.47	–	21536	17.12	125779	AR
California	8	89288	45.33	–	102369	51.97	8	2965	1.51	–	2037	1.03	–	−13081	−6.64	196988	CA
Colorado	3	27723	41.68	–	36084	54.25	3	756	1.14	–	1956	2.94	–	−8361	−12.57	66519	CO
Connecticut	6	67182	48.95	6	65898	48.01	–	2493	1.82	–	1684	1.23	–	1284	0.94	137257	CT
Delaware	3	16957	56.55	3	12953	43.20	–	64	0.21	–	10	0.03	–	4004	13.35	29984	DE
Florida	4	31769	52.96	4	28031	46.73	–	72	0.12	–	–	–	–	3738	6.23	59990	FL
Georgia	12	94667	65.92	12	48603	33.84	–	195	0.14	–	145	0.10	–	46064	32.08	143610	GA
Illinois	22	312351	46.43	–	337469	50.17	22	12074	1.79	–	10776	1.60	–	−25118	−3.73	672670	IL
Indiana	15	245005	49.46	15	238489	48.15	–	3028	0.61	–	8810	1.78	–	6516	1.32	495332	IN
Iowa	13	177316	47.01	–	197089	52.25	13	1499	0.40	–	–	–	–	−19773	−5.24	377201	IA
Kansas	9	90132	33.90	–	154406	58.08	9	4495	1.69	–	16346	6.15	–	−64274	−24.18	265848	KS
Kentucky	13	152961	55.32	13	118690	42.93	–	3139	1.14	–	1691	0.61	–	34271	12.40	276481	KY
Louisiana	8	62594	57.22	8	46347	42.37	–	338	0.31	–	120	0.11	–	16247	14.85	109399	LA
Maine	6	52153	39.97	–	72217	55.34	6	2160	1.66	–	3955	3.03	–	−20064	−15.38	130491	ME
Maryland	8	96866	52.07	8	85748	46.10	–	2827	1.52	–	578	0.31	–	11118	5.98	186019	MD
Massachusetts	14	122352	40.33	–	146724	48.36	14	9923	3.27	–	24382	8.04	–	−24372	−8.03	303383	MA
Michigan	13	189361	47.20	–	192669	48.02	13	18403	4.59	–	753	0.19	–	−3308	−0.82	401186	MI
Minnesota	7	70065	36.87	–	111685	58.78	7	4684	2.47	–	3583	1.89	–	−41620	−21.90	190017	MN
Mississippi	9	77653	64.34	9	43035	35.66	–	–	–	–	–	–	–	34618	28.68	120688	MS
Missouri	16	236023	53.49	16	203081	46.02	–	2164	0.49	–	–	–	–	32942	7.47	441268	MO
Nebraska	5	54391	40.53	–	76912	57.31	5	2899	2.16	–	–	–	–	−22521	−16.78	134202	NE
Nevada	3	5578	43.59	–	7193	56.21	3	–	–	–	26	0.20	–	−1615	−12.62	12797	NV
New_Hampshire	4	39198	46.34	–	43254	51.14	4	1580	1.87	–	554	0.65	–	−4056	−4.80	84586	NH
New_Jersey	9	127798	48.98	9	123440	47.31	–	6159	2.36	–	3496	1.34	–	4358	1.67	260921	NJ
New_York	36	563154	48.25	36	562005	48.15	–	25006	2.14	–	17004	1.46	–	1149	0.10	1167169	NY
North_Carolina	11	142905	53.25	11	125021	46.59	–	430	0.16	–	–	–	–	17884	6.66	268356	NC
Ohio	23	368280	46.94	–	400082	50.99	23	11069	1.41	–	5179	0.66	–	−31802	−4.05	784610	OH
Oregon	3	24604	46.70	–	26860	50.99	3	492	0.93	–	726	1.38	–	−2256	−4.28	52682	OR
Pennsylvania	30	392785	43.46	–	478804	52.97	30	15283	1.69	–	16992	1.88	–	−86019	−9.52	903864	PA
Rhode_Island	4	12391	37.81	–	19030	58.07	4	928	2.83	–	422	1.29	–	−6639	−20.26	32771	RI
South_Carolina	9	69845	75.25	9	21730	23.41	–	–	–	–	–	–	–	48115	51.84	92812	SC
Tennessee	12	133770	51.45	12	124101	47.74	–	1150	0.44	–	957	0.37	–	9669	3.72	259978	TN
Texas	13	225309	69.26	13	93141	28.63	–	3534	1.09	–	3321	1.02	–	132168	40.63	325305	TX
Vermont	4	17331	29.18	–	39514	66.52	4	1753	2.95	–	785	1.32	–	−22183	−37.34	59401	VT
Virginia	12	145491	51.05	12	139356	48.90	–	130	0.05	–	–	–	–	6135	2.15	284977	VA
West_Virginia	6	67311	50.94	6	63096	47.75	–	939	0.71	–	799	0.60	–	4215	3.19	132145	WV
Wisconsin	11	146453	45.79	–	161135	50.38	11	7649	2.39	–	4598	1.44	–	−14682	−4.59	319835	WI
TOTALS:	401	4914482	48.85	219	4856903	48.28	182	150890	1.50	–	134294	1.33	–	57579	0.57	10060145	US
