County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,NEW_PCT,NEW_NUM,WRT_PCT,WRT_NUM,Margin_PCT,Margin_NUM
Tyrrell,44.70,637,55.09,785,0.21,3,0,0,-10.39,-148
Caswell,43.93,3299,55.79,4189,0.27,20,0.01,1,-11.85,-890
Washington,43.69,2186,56.08,2806,0.22,11,0.02,1,-12.39,-620
Edgecombe,42.92,6831,56.82,9044,0.19,31,0.06,10,-13.90,-2213
Bladen,42.77,3770,57.08,5031,0.15,13,0,0,-14.31,-1261
Columbus,41.93,6659,57.75,9172,0.32,51,0,0,-15.82,-2513
Gates,41.64,1451,58.08,2024,0.29,10,0,0,-16.44,-573
Hyde,41.52,940,58.13,1316,0.35,8,0,0,-16.61,-376
Richmond,41.39,5073,58.34,7151,0.21,26,0.06,7,-16.95,-2078
Orange,39.13,14503,60.23,22326,0.35,131,0.29,107,-21.11,-7823
Hoke,37.88,2020,61.52,3281,0.60,32,0,0,-23.65,-1261
Hertford,37.54,2977,62.33,4943,0.11,9,0.01,1,-24.79,-1966
Robeson,36.70,9908,62.92,16988,0.39,104,0,0,-26.22,-7080
Anson,36.45,2782,63.29,4831,0.26,20,0,0,-26.84,-2049
Bertie,36.24,2145,63.56,3762,0.20,12,0,0,-27.32,-1617
Northampton,34.34,2415,65.39,4599,0.27,19,0,0,-31.05,-2184
Warren,33.64,2163,66.09,4249,0.26,17,0,0,-32.45,-2086
