County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,OTH_PCT,OTH_NUM,Total_NUM
Alamance,42.60,28875,56.32,38170,01.08,731,67776
Alexander,26.81,4611,71.25,12253,01.93,332,17196
Alleghany,31.24,1583,66.90,3390,01.86,94,5067
Anson,62.36,7019,37.01,4166,00.63,71,11256
Ashe,32.64,4116,65.36,8242,02.00,252,12610
Avery,24.26,1882,74.31,5766,01.43,111,7759
Beaufort,39.94,9435,59.17,13977,00.88,208,23620
Bertie,66.14,6695,33.46,3387,00.41,41,10123
Bladen,50.52,8062,48.56,7748,00.92,147,15957
Brunswick,38.42,22038,60.57,34743,01.01,581,57362
Buncombe,55.31,70625,42.84,54701,01.86,2370,127696
Burke,37.49,13701,60.93,22267,01.58,576,36544
Cabarrus,39.31,32849,59.30,49557,01.39,1160,83566
Caldwell,31.38,10898,66.88,23229,01.74,605,34732
Camden,32.06,1508,66.09,3109,01.85,87,4704
Carteret,29.00,10301,69.76,24775,01.24,441,35517
Caswell,48.45,5348,50.67,5594,00.88,97,11039
Catawba,34.58,24069,63.99,44538,01.43,994,69601
Chatham,51.82,18361,47.03,16665,01.15,408,35434
Cherokee,26.25,3378,72.11,9278,01.64,211,12867
Chowan,47.38,3556,51.85,3891,00.77,58,7505
Clay,27.99,1579,70.42,3973,01.60,90,5642
Cleveland,39.37,17062,59.51,25793,01.12,485,43340
Columbus,45.58,11050,53.38,12941,01.04,252,24243
Craven,40.64,18763,58.32,26928,01.04,479,46170
Cumberland,59.38,75792,39.69,50666,00.93,1183,127641
Currituck,31.51,3562,66.31,7496,02.18,246,11304
Dare,41.13,7393,57.02,10248,01.85,333,17974
Davidson,29.07,20624,69.62,49383,01.31,928,70935
Davie,27.75,5735,71.05,14687,01.20,248,20670
Duplin,43.87,9033,55.44,11416,00.69,143,20592
Durham,75.80,111224,23.01,33769,01.19,1742,146735
Edgecombe,67.89,18310,31.68,8546,00.43,116,26972
Forsyth,53.04,92323,45.83,79768,01.14,1978,174069
Franklin,47.33,13436,51.44,14603,01.23,350,28389
Gaston,36.66,33171,62.04,56138,01.30,1174,90483
Gates,51.63,2786,47.52,2564,00.85,46,5396
Graham,28.35,1119,69.67,2750,01.98,78,3947
Granville,51.75,13598,47.21,12405,01.04,272,26275
Greene,45.87,3778,53.56,4411,00.57,47,8236
Guilford,57.66,146365,41.28,104789,01.06,2698,253852
Halifax,65.86,17176,33.60,8763,00.54,140,26079
Harnett,39.92,17331,58.89,25565,01.20,519,43415
Haywood,42.30,11833,55.88,15633,01.82,508,27974
Henderson,35.58,18642,62.98,32994,01.44,756,52392
Hertford,71.84,7843,27.54,3007,00.62,68,10918
Hoke,58.96,10076,39.90,6819,01.14,194,17089
Hyde,48.80,1163,50.06,1193,01.13,27,2383
Iredell,34.15,26076,64.56,49299,01.30,990,76365
Jackson,48.47,8095,49.42,8254,02.11,352,16701
Johnston,35.58,27290,63.15,48427,01.27,974,76691
Jones,44.97,2352,54.24,2837,00.78,41,5230
Lee,44.56,10801,54.28,13158,01.16,280,24239
Lenoir,49.66,13948,49.78,13980,00.56,158,28086
Lincoln,29.98,11024,68.71,25267,01.32,484,36775
Macon,33.88,5712,64.26,10835,01.86,314,16861
Madison,44.34,4484,53.44,5404,02.22,225,10113
Martin,52.03,6583,47.38,5995,00.58,74,12652
McDowell,33.32,6031,65.06,11775,01.62,293,18099
Mecklenburg,60.65,272262,38.24,171668,01.11,4970,448900
Mitchell,23.67,1838,74.77,5806,01.56,121,7765
Montgomery,41.90,4706,57.02,6404,01.08,121,11231
Moore,35.56,16505,63.55,29495,00.89,415,46415
Nash,50.14,24313,49.17,23842,00.69,337,48492
New_Hanover,46.96,48668,51.52,53385,01.52,1575,103628
Northampton,67.24,7232,32.38,3483,00.38,41,10756
Onslow,35.95,18490,62.69,32243,01.36,702,51435
Orange,70.22,53901,28.06,21539,01.72,1317,76757
Pamlico,39.15,2647,59.91,4051,00.95,64,6762
Pasquotank,56.78,10282,42.15,7633,01.06,192,18107
Pender,39.27,9632,59.60,14617,01.13,278,24527
Perquimans,41.48,2759,57.46,3822,01.07,71,6652
Person,44.06,8418,54.94,10496,01.00,192,19106
Pitt,53.06,41843,45.92,36214,01.01,799,78856
Polk,38.63,4013,60.03,6236,01.35,140,10389
Randolph,24.33,14773,74.38,45160,01.29,782,60715
Richmond,51.01,9904,48.06,9332,00.93,181,19417
