County DEM_NUM DEM_PCT GOP_NUM GOP_PCT IND_NUM IND_PCT OTH_NUM OTH_PCT Margin_NUM Margin_PCT Total_NUM 
Gwinnett	21958	42.68	27185	52.84	1497	2.91	812	1.58	-5227	-10.16	51452
Habersham	4394	64.80	2224	32.80	100	1.47	63	0.93	2170	32.00	6781
Hall	12124	59.08	7760	37.81	463	2.26	174	0.85	4364	21.27	20521
Hancock	2205	78.50	573	20.40	23	0.82	8	0.28	1632	58.10	2809
Haralson	3606	60.50	2229	37.40	71	1.19	54	0.91	1377	23.10	5960
Harris	2807	56.80	2001	40.49	100	2.02	34	0.69	806	16.31	4942
Hart	4539	73.03	1577	25.37	59	0.95	40	0.64	2962	47.66	6215
Heard	1348	59.05	875	38.33	35	1.53	25	1.10	473	20.72	2283
Henry	5635	50.01	5326	47.27	163	1.45	144	1.28	309	2.74	11268
Houston	10915	52.74	9005	43.51	536	2.59	239	1.15	1910	9.23	20695
Irwin	1555	59.08	1056	40.12	11	0.42	10	0.38	499	18.96	2632
Jackson	4591	66.07	2209	31.79	107	1.54	42	0.60	2382	34.28	6949
Jasper	1546	62.24	879	35.39	38	1.53	21	0.85	667	26.85	2484
Jeff_Davis	2059	62.19	1191	35.97	40	1.21	21	0.63	868	26.22	3311
Jefferson	3305	66.39	1605	32.24	44	0.88	24	0.48	1700	34.15	4978
Jenkins	1632	65.46	824	33.05	24	0.96	13	0.52	808	32.41	2493
Johnson	1854	61.21	1123	37.07	29	0.96	23	0.76	731	24.13	3029
Jones	3239	62.05	1828	35.02	112	2.15	41	0.79	1411	27.03	5220
Lamar	2453	64.08	1298	33.91	42	1.10	35	0.91	1155	30.17	3828
Lanier	1116	69.58	470	29.30	9	0.56	9	0.56	646	40.27	1604
Laurens	7860	62.76	4392	35.07	147	1.17	124	0.99	3468	27.69	12523
Lee	1670	45.62	1942	53.05	26	0.71	23	0.63	-272	-7.43	3661
Liberty	3099	66.18	1507	32.18	49	1.05	28	0.60	1592	34.00	4683
Lincoln	1617	66.27	806	33.03	10	0.41	7	0.29	811	33.24	2440
Long	1202	68.96	514	29.49	23	1.32	4	0.23	688	39.47	1743
Lowndes	5989	46.38	6622	51.29	214	1.66	87	0.67	-633	-4.90	12912
Lumpkin	1951	63.24	1024	33.19	83	2.69	27	0.88	927	30.05	3085
McDuffie	2667	56.95	1928	41.17	59	1.26	29	0.62	739	15.78	4683
McIntosh	2104	69.01	876	28.73	38	1.25	31	1.02	1228	40.28	3049
Macon	3025	76.02	894	22.47	39	0.98	21	0.53	2131	53.56	3979
Madison	2980	55.17	2330	43.14	59	1.09	32	0.59	650	12.03	5401
Marion	1174	66.22	567	31.98	16	0.90	16	0.90	607	34.24	1773
Meriwether	3876	66.77	1838	31.66	59	1.02	32	0.55	2038	35.11	5805
Miller	1127	54.90	900	43.84	19	0.93	7	0.34	227	11.06	2053
Mitchell	3566	60.89	2231	38.10	40	0.68	19	0.32	1335	22.80	5856
Monroe	2542	65.85	1242	32.18	43	1.11	33	0.85	1300	33.68	3860
Montgomery	1663	62.99	948	35.91	23	0.87	6	0.23	715	27.08	2640
Morgan	2276	62.00	1323	36.04	57	1.55	15	0.41	953	25.96	3671
Murray	3094	65.82	1538	32.72	42	0.89	27	0.57	1556	33.10	4701
Muscogee	23272	58.82	15203	38.42	811	2.05	280	0.71	8069	20.39	39566
Newton	5611	61.96	3206	35.40	150	1.66	89	0.98	2405	26.56	9056
Oconee	2141	49.03	2065	47.29	106	2.43	55	1.26	76	1.74	4367
Oglethorpe	1611	56.41	1187	41.56	44	1.54	14	0.49	424	14.85	2856
Paulding	4686	60.72	2845	36.87	97	1.26	89	1.15	1841	23.86	7717
Peach	3415	66.05	1642	31.76	68	1.32	45	0.87	1773	34.29	5170
Pickens	2358	57.84	1612	39.54	73	1.79	34	0.83	746	18.30	4077
Pierce	1918	64.25	1027	34.41	21	0.70	19	0.64	891	29.85	2985
Pike	1755	56.72	1271	41.08	45	1.45	23	0.74	484	15.64	3094
Polk	5421	63.31	2949	34.44	116	1.35	76	0.89	2472	28.87	8562
Pulaski	1997	61.79	1153	35.67	54	1.67	28	0.87	844	26.11	3232
Putnam	1951	61.41	1166	36.70	35	1.10	25	0.79	785	24.71	3177
Quitman	589	70.37	240	28.67	2	0.24	6	0.72	349	41.70	837
Rabun	2327	66.58	1070	30.62	67	1.92	31	0.89	1257	35.97	3495
Randolph	1861	67.85	879	32.05	1	0.04	2	0.07	982	35.80	2743
Richmond	24104	53.72	19619	43.72	887	1.98	261	0.58	4485	10.00	44871
Rockdale	4395	43.66	5300	52.65	219	2.18	153	1.52	-905	-8.99	10067
Schley	613	56.50	453	41.75	9	0.83	10	0.92	160	14.75	1085
Screven	2117	57.78	1490	40.67	36	0.98	21	0.57	627	17.11	3664
Seminole	1794	61.10	1117	38.04	16	0.54	9	0.31	677	23.06	2936
Spalding	7176	58.19	4809	39.00	248	2.01	98	0.79	2367	19.20	12331
Stephens	4529	67.68	2045	30.56	69	1.03	49	0.73	2484	37.12	6692
Stewart	1440	69.00	611	29.28	23	1.10	13	0.62	829	39.72	2087
Sumter	4956	61.49	2957	36.69	103	1.28	44	0.55	1999	24.80	8060
Talbot	1635	72.89	572	25.50	20	0.89	16	0.71	1063	47.39	2243
Taliaferro	670	70.23	270	28.30	8	0.84	6	0.63	400	41.93	954
Tattnall	2864	57.26	2082	41.62	37	0.74	19	0.38	782	15.63	5002
Taylor	1845	68.38	815	30.21	19	0.70	19	0.70	1030	38.18	2698
Telfair	2700	68.51	1173	29.76	41	1.04	27	0.69	1527	38.75	3941
Terrell	2010	58.77	1378	40.29	21	0.61	11	0.32	632	18.48	3420
Thomas	5695	56.05	4294	42.26	117	1.15	55	0.54	1401	13.79	10161
Tift	4572	56.99	3280	40.89	99	1.23	71	0.89	1292	16.11	8022
Toombs	3255	52.53	2835	45.75	68	1.10	39	0.63	420	6.78	6197
Towns	1510	49.27	1475	48.12	57	1.86	23	0.75	35	1.14	3065
Treutlen	1307	65.22	668	33.33	21	1.05	8	0.40	639	31.89	2004
Troup	7716	57.46	5398	40.20	191	1.42	124	0.92	2318	17.26	13429
Turner	1990	68.13	898	30.74	16	0.55	17	0.58	1092	37.38	2921
Twiggs	2213	74.26	747	25.07	8	0.27	12	0.40	1466	49.19	2980
Union	1700	51.34	1546	46.69	43	1.30	22	0.66	154	4.65	3311
Upson	4713	61.73	2788	36.52	77	1.01	57	0.75	1925	25.21	7635
Walker	6809	48.18	7088	50.16	171	1.21	64	0.45	-279	-1.97	14132
Walton	4525	61.96	2618	35.85	112	1.53	48	0.66	1907	26.11	7303
Ware	6307	62.22	3715	36.65	77	0.76	38	0.37	2592	25.57	10137
Warren	1517	65.36	779	33.56	20	0.86	5	0.22	738	31.80	2321
Washington	3452	64.35	1822	33.97	60	1.12	30	0.56	1630	30.39	5364
Wayne	3843	62.42	2213	35.94	52	0.84	49	0.80	1630	26.47	6157
Webster	608	64.68	312	33.19	8	0.85	12	1.28	296	31.49	940
Wheeler	1599	73.15	550	25.16	28	1.28	9	0.41	1049	47.99	2186
White	2017	61.36	1175	35.75	58	1.76	37	1.13	842	25.62	3287
Whitfield	9691	58.95	6404	38.96	229	1.39	115	0.70	3287	20.00	16439
Wilcox	1780	67.68	827	31.44	13	0.49	10	0.38	953	36.24	2630
Wilkes	2350	64.86	1212	33.45	31	0.86	30	0.83	1138	31.41	3623
Wilkinson	2365	66.96	1116	31.60	31	0.88	20	0.57	1249	35.36	3532
Worth	2567	54.68	2076	44.22	35	0.75	17	0.36	491	10.46	4695
Totals	890733	55.79	654168	40.97	36055	2.26	15627	0.98	236565	14.82	1596583
