County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,5281,88.37,688,11.51,7,0.12,4593,76.86,5976
Andrews,440,94.42,26,5.58,0,0.00,414,88.84,466
Angelina,5993,91.19,572,8.70,7,0.11,5421,82.49,6572
Aransas,536,79.17,141,20.83,0,0.00,395,58.35,677
Archer,1904,87.30,276,12.65,1,0.05,1628,74.64,2181
Armstrong,891,91.48,82,8.42,1,0.10,809,83.06,974
Atascosa,1922,82.00,418,17.83,4,0.17,1504,64.16,2344
Austin,1404,50.02,1400,49.88,3,0.11,4,0.14,2807
Bailey,1066,76.31,330,23.62,1,0.07,736,52.68,1397
Bandera,881,66.89,432,32.80,4,0.30,449,34.09,1317
Bastrop,2492,83.18,502,16.76,2,0.07,1990,66.42,2996
Baylor,1667,92.25,139,7.69,1,0.06,1528,84.56,1807
Bee,1759,64.98,948,35.02,0,0.00,811,29.96,2707
Bell,7418,87.60,1050,12.40,0,0.00,6368,75.20,8468
Bexar,38214,67.40,18270,32.22,212,0.37,19944,35.18,56696
Blanco,1042,66.50,520,33.18,5,0.32,522,33.31,1567
Borden,375,89.50,44,10.50,0,0.00,331,79.00,419
Bosque,3083,83.78,595,16.17,2,0.05,2488,67.61,3680
Bowie,6937,86.18,1107,13.75,5,0.06,5830,72.43,8049
Brazoria,3781,82.46,799,17.43,5,0.11,2982,65.04,4585
Brazos,4151,86.90,617,12.92,9,0.19,3534,73.98,4777
Brewster,1001,80.21,245,19.63,2,0.16,756,60.58,1248
Briscoe,910,85.37,154,14.45,2,0.19,756,70.92,1066
Brooks,670,76.57,201,22.97,4,0.46,469,53.60,875
Brown,4523,87.06,663,12.76,9,0.17,3860,74.30,5195
Burleson,1999,86.13,319,13.74,3,0.13,1680,72.38,2321
Burnet,2177,90.26,233,9.66,2,0.08,1944,80.60,2412
Caldwell,3499,84.13,659,15.85,1,0.02,2840,68.29,4159
Calhoun,935,85.94,152,13.97,1,0.09,783,71.97,1088
