County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,SOC_NUM,SOC_PCT,PHB_NUM,PHB_PCT,Margin_NUM,Margin_PCT,Total_NUM
Nacogdoches,1766,88.21,92,4.60,141,7.04,3,0.15,1625,81.17,2002
Navarro,3527,89.81,294,7.49,100,2.55,6,0.15,3233,82.33,3927
Newton,493,88.35,34,6.09,23,4.12,8,1.43,459,82.26,558
Nolan,1048,85.97,91,7.47,79,6.48,1,0.08,957,78.51,1219
Nueces,1830,76.35,404,16.85,142,5.92,21,0.88,1426,59.49,2397
Ochiltree,238,82.93,41,14.29,8,2.79,0,0.00,197,68.64,287
Oldham,138,75.00,42,22.83,0,0.00,4,2.17,96,52.17,184
Orange,758,85.84,92,10.42,0,0.00,33,3.74,666,75.42,883
Palo_Pinto,1431,77.44,124,6.71,282,15.26,11,0.60,1149,62.18,1848
Panola,1228,86.12,125,8.77,71,4.98,2,0.14,1103,77.35,1426
Parker,1797,80.69,173,7.77,240,10.78,17,0.76,1557,69.91,2227
Parmer,194,70.80,64,23.36,10,3.65,6,2.19,130,47.45,274
Pecos,394,79.44,96,19.35,2,0.40,4,0.81,298,60.08,496
Polk,918,80.60,107,9.39,113,9.92,1,0.09,805,70.68,1139
Potter,1288,82.62,166,10.65,99,6.35,6,0.38,1122,71.97,1559
Presidio,245,89.74,27,9.89,0,0.00,1,0.37,218,79.85,273
Rains,509,58.57,71,8.17,289,33.26,0,0.00,220,25.32,869
Randall,341,80.81,63,14.93,6,1.42,12,2.84,278,65.88,422
Reagan,59,95.16,2,3.23,0,0.00,1,1.61,57,91.94,62
Real,242,85.21,14,4.93,25,8.80,3,1.06,217,76.41,284
Red_River,2021,80.10,356,14.11,141,5.59,5,0.20,1665,65.99,2523
Reeves,346,87.59,43,10.89,5,1.27,1,0.25,303,76.71,395
Refugio,408,58.62,232,33.33,47,6.75,9,1.29,176,25.29,696
Roberts,220,87.65,27,10.76,3,1.20,1,0.40,193,76.89,251
Robertson,1313,83.26,218,13.82,44,2.79,2,0.13,1095,69.44,1577
Rockwall,828,94.95,27,3.10,0,0.00,17,1.95,801,91.86,872
Runnels,1487,81.66,195,10.71,133,7.30,6,0.33,1292,70.95,1821
Rusk,1849,72.00,521,20.29,196,7.63,2,0.08,1328,51.71,2568
Sabine,681,89.72,22,2.90,54,7.11,2,0.26,627,82.61,759
San_Augustine,682,90.69,18,2.39,51,6.78,1,0.13,631,83.91,752
San_Jacinto,442,63.23,255,36.48,1,0.14,1,0.14,187,26.75,699
San_Patricio,594,74.53,130,16.31,65,8.16,8,1.00,464,58.22,797
San_Saba,935,85.31,66,6.02,90,8.21,5,0.46,845,77.10,1096
Schleicher,163,92.09,10,5.65,1,0.56,3,1.69,153,86.44,177
Scurry,994,89.15,40,3.59,78,7.00,3,0.27,916,82.15,1115
Shackelford,378,80.94,51,10.92,36,7.71,2,0.43,327,70.02,467
Shelby,1767,84.99,131,6.30,175,8.42,6,0.29,1592,76.58,2079
Sherman,152,75.25,39,19.31,9,4.46,2,0.99,113,55.94,202
Smith,2422,69.58,773,22.21,270,7.76,16,0.46,1649,47.37,3481
Somervell,278,72.77,20,5.24,84,21.99,0,0.00,194,50.79,382
Starr,516,81.77,115,18.23,0,0.00,0,0.00,401,63.55,631
Stephens,572,83.26,12,1.75,103,14.99,0,0.00,469,68.27,687
Sterling,205,96.70,6,2.83,0,0.00,1,0.47,199,93.87,212
Stonewall,502,78.19,21,3.27,119,18.54,0,0.00,383,59.66,642
Sutton,130,90.91,13,9.09,0,0.00,0,0.00,117,81.82,143
Swisher,381,83.55,62,13.60,11,2.41,2,0.44,319,69.96,456
Tarrant,10269,84.08,1550,12.69,329,2.69,65,0.53,8719,71.39,12213
Taylor,2134,89.89,120,5.05,118,4.97,2,0.08,2014,84.84,2374
Terrell,181,74.79,59,24.38,2,0.83,0,0.00,122,50.41,242
Terry,146,99.32,1,0.68,0,0.00,0,0.00,145,98.64,147
Throckmorton,333,79.29,10,2.38,76,18.10,1,0.24,257,61.19,420
Titus,1164,79.18,189,12.86,95,6.46,22,1.50,975,66.33,1470
