County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,OTH_PCT,OTH_NUM,Total_NUM
Wichita,33.03,14108,65.09,27802,1.88,803,42713
Wilbarger,29.63,1356,68.56,3138,1.81,83,4577
Willacy,63.57,3218,35.34,1789,1.09,55,5062
Williamson,27.72,26591,67.80,65041,4.49,4303,95935
Wilson,34.17,3997,64.19,7509,1.64,192,11698
Winkler,27.21,556,71.86,1468,0.93,19,2043
Wise,29.51,4830,68.63,11234,1.86,304,16368
Wood,28.04,3893,70.66,9810,1.30,181,13884
Yoakum,21.54,531,77.53,1911,0.93,23,2465
Young,26.50,1843,72.22,5022,1.28,89,6954
Zapata,62.61,1638,36.43,953,0.96,25,2616
Zavala,77.15,2616,22.15,751,0.71,24,3391
