County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,4637,57.18,3462,42.69,10,0.12,1175,14.49,8109
Andrews,805,46.56,920,53.21,4,0.23,-115,-6.65,1729
Angelina,4705,43.00,6224,56.88,13,0.12,-1519,-13.88,10942
Aransas,818,61.74,503,37.96,4,0.30,315,23.77,1325
Archer,937,42.36,1272,57.50,3,0.14,-335,-15.14,2212
Armstrong,562,56.43,425,42.67,9,0.90,137,13.76,996
Atascosa,2147,50.15,2124,49.61,10,0.23,23,0.54,4281
Austin,2964,67.17,1445,32.74,4,0.09,1519,34.42,4413
Bailey,1118,51.71,1039,48.06,5,0.23,79,3.65,2162
Bandera,1350,78.95,358,20.94,2,0.12,992,58.01,1710
Bastrop,1540,32.81,3148,67.06,6,0.13,-1608,-34.26,4694
Baylor,879,43.43,1142,56.42,3,0.15,-263,-12.99,2024
Bee,2536,61.46,1583,38.37,7,0.17,953,23.10,4126
Bell,4862,33.86,9484,66.05,12,0.08,-4622,-32.19,14358
Bexar,65391,56.31,50260,43.28,485,0.42,15131,13.03,116136
Blanco,919,56.80,697,43.08,2,0.12,222,13.72,1618
Borden,182,46.43,210,53.57,0,0.00,-28,-7.14,392
Bosque,1982,50.45,1940,49.38,7,0.18,42,1.07,3929
Bowie,6501,38.34,10437,61.56,16,0.09,-3936,-23.22,16954
Brazoria,8360,49.88,8386,50.03,15,0.09,-26,-0.16,16761
Brazos,4681,52.62,4213,47.36,2,0.02,468,5.26,8896
Brewster,1096,64.28,609,35.72,0,0.00,487,28.56,1705
Briscoe,692,57.52,508,42.23,3,0.25,184,15.30,1203
Brooks,809,33.89,1577,66.07,1,0.04,-768,-32.17,2387
Brown,4635,55.02,3778,44.85,11,0.13,857,10.17,8424
Burleson,1052,30.85,2347,68.83,11,0.32,-1295,-37.98,3410
Burnet,1270,46.98,1431,52.94,2,0.07,-161,-5.96,2703
Caldwell,2052,41.53,2887,58.43,2,0.04,-835,-16.90,4941
Calhoun,1406,63.28,813,36.59,3,0.14,593,26.69,2222
Callahan,1431,48.71,1502,51.12,5,0.17,-71,-2.42,2938
Cameron,14018,64.89,7559,34.99,25,0.12,6459,29.90,21602
Camp,951,38.24,1535,61.72,1,0.04,-584,-23.48,2487
Carson,1471,57.64,1071,41.97,10,0.39,400,15.67,2552
Cass,2502,44.17,3160,55.78,3,0.05,-658,-11.62,5665
Castro,1169,58.57,825,41.33,2,0.10,344,17.23,1996
Chambers,1497,57.20,1116,42.64,4,0.15,381,14.56,2617
Cherokee,3825,49.63,3868,50.19,14,0.18,-43,-0.56,7707
Childress,1890,50.12,1879,49.83,2,0.05,11,0.29,3771
Clay,1272,38.36,2044,61.64,0,0.00,-772,-23.28,3316
Cochran,780,46.07,906,53.51,7,0.41,-126,-7.44,1693
Coke,576,43.74,736,55.88,5,0.38,-160,-12.15,1317
Coleman,2555,58.24,1824,41.58,8,0.18,731,16.66,4387
Collin,4037,40.57,5906,59.36,7,0.07,-1869,-18.78,9950
Collingsworth,1334,50.21,1321,49.72,2,0.08,13,0.49,2657
Colorado,3237,61.19,2043,38.62,10,0.19,1194,22.57,5290
Comal,3350,72.73,1252,27.18,4,0.09,2098,45.55,4606
Comanche,2411,52.46,2181,47.45,4,0.09,230,5.00,4596
Concho,808,53.30,708,46.70,0,0.00,100,6.60,1516
Cooke,4385,62.20,2657,37.69,8,0.11,1728,24.51,7050
Coryell,1658,40.52,2432,59.43,2,0.05,-774,-18.91,4092
Cottle,494,26.53,1368,73.47,0,0.00,-874,-46.94,1862
Crane,621,41.73,857,57.59,10,0.67,-236,-15.86,1488
Crockett,654,68.13,306,31.88,0,0.00,348,36.25,960
Crosby,1053,40.45,1550,59.55,0,0.00,-497,-19.09,2603
Culberson,331,56.78,252,43.22,0,0.00,79,13.55,583
Dallam,1464,54.77,1197,44.78,12,0.45,267,9.99,2673
Dallas,118218,62.73,69394,36.82,850,0.45,48824,25.91,188462
Dawson,2388,53.29,2093,46.71,0,0.00,295,6.58,4481
Deaf_Smith,2468,70.86,1006,28.88,9,0.26,1462,41.98,3483
Delta,707,30.81,1585,69.06,3,0.13,-878,-38.26,2295
Denton,5840,52.44,5289,47.49,8,0.07,551,4.95,11137
DeWitt,4075,67.71,1934,32.14,9,0.15,2141,35.58,6018
Dickens,782,38.43,1249,61.38,4,0.20,-467,-22.95,2035
Dimmit,954,65.34,503,34.45,3,0.21,451,30.89,1460
Donley,1150,55.93,900,43.77,6,0.29,250,12.16,2056
Duval,672,16.85,3316,83.13,1,0.03,-2644,-66.28,3989
Eastland,4518,57.15,3370,42.63,18,0.23,1148,14.52,7906
Ector,8259,61.01,5270,38.93,8,0.06,2989,22.08,13537
Edwards,586,73.43,210,26.32,2,0.25,376,47.12,798
Ellis,4183,39.91,6275,59.86,24,0.23,-2092,-19.96,10482
El_Paso,20005,57.74,14595,42.12,47,0.14,5410,15.61,34647
Erath,3249,54.93,2664,45.04,2,0.03,585,9.89,5915
Falls,1962,37.32,3287,62.53,8,0.15,-1325,-25.20,5257
Fannin,2099,28.12,5363,71.84,3,0.04,-3264,-43.72,7465
