County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,OTH_PCT,OTH_NUM,Total_NUM
Anderson,71.4,11884,27.8,4630,0.8,141,16655
Andrews,82.4,3816,17.1,790,0.5,23,4629
Angelina,67.1,19569,32.2,9379,0.7,205,29153
Aransas,68.4,6693,30.7,3006,0.8,79,9778
Archer,82.4,3595,17.0,740,0.7,30,4365
Armstrong,86.5,856,12.9,128,0.6,6,990
Atascosa,55.0,5462,44.4,4415,0.6,61,9938
Austin,75.0,8786,24.1,2821,1.0,114,11721
Bailey,69.9,1618,29.4,682,0.7,16,2316
Bandera,74.6,6935,24.2,2250,1.2,112,9297
Bastrop,53.3,13817,45.1,11687,1.6,414,25918
Baylor,76.8,1262,22.3,366,0.9,15,1643
Bee,54.8,4471,44.7,3645,0.5,41,8157
Bell,54.5,49242,44.7,40413,0.8,679,90334
Bexar,46.8,246275,52.4,275527,0.7,3913,525715
Blanco,69.2,3418,29.7,1467,1.1,54,4939
Borden,87.5,316,11.1,40,1.4,5,361
Bosque,75.4,5762,23.5,1797,1.1,87,7646
Bowie,68.7,24162,30.7,10815,0.6,209,35186
Brazoria,64.3,67515,34.8,36480,0.9,945,104940
Brazos,63.9,37465,34.9,20502,1.2,706,58673
Brewster,47.6,1855,50.5,1970,1.9,75,3900
Briscoe,74.3,617,24.7,205,1.0,8,830
Brooks,24.1,556,75.7,1747,0.3,6,2309
Brown,80.3,12052,18.8,2822,0.9,141,15015
Burleson,68.2,4547,30.8,2053,1.0,65,6665
Burnet,71.4,12059,27.3,4608,1.3,226,16893
Caldwell,52.4,6107,46.4,5403,1.2,138,11648
Calhoun,59.7,4106,39.7,2729,0.6,44,6879
Callahan,80.3,4589,18.6,1063,1.1,64,5716
Cameron,35.3,26671,64.1,48480,0.7,506,75657
Camp,61.3,2798,38.0,1734,0.8,35,4567
Carson,85.5,2548,13.6,406,0.9,26,2980
Cass,69.9,8279,29.5,3490,0.7,77,11846
Castro,68.2,1562,31.4,719,0.4,10,2291
Chambers,75.1,9988,24.0,3188,0.9,116,13292
Cherokee,71.2,11695,28.1,4610,0.7,112,16417
Childress,77.6,1782,21.6,497,0.7,17,2296
Clay,78.9,4213,20.3,1085,0.8,41,5339
Cochran,71.7,758,26.9,284,1.4,15,1057
Coke,79.8,1252,19.1,299,1.1,18,1569
Coleman,81.3,3011,17.4,643,1.3,48,3702
Collin,62.3,184897,36.8,109047,0.9,2639,296583
Collingsworth,78.9,943,19.6,234,1.5,18,1195
Colorado,69.4,5795,30.0,2508,0.6,50,8353
Comal,73.2,35233,25.7,12384,1.1,541,48158
Comanche,73.1,3813,25.6,1334,1.3,70,5217
Concho,74.9,807,23.9,257,1.2,13,1077
Cooke,79.0,11871,20.3,3051,0.7,110,15032
Coryell,63.0,11550,36.1,6619,0.9,163,18332
Cottle,72.2,509,26.5,187,1.3,9,705
Crane,77.0,1119,21.9,319,1.1,16,1454
Crockett,66.4,1026,33.1,512,0.5,7,1545
Crosby,63.8,1221,35.7,684,0.5,9,1914
Culberson,33.9,257,64.8,492,1.3,10,759
Dallam,79.9,1269,19.0,302,1.1,18,1589
Dallas,42.0,310000,57.3,422989,0.7,5474,738463
Dawson,70.9,2906,28.1,1152,0.9,38,4096
Deaf_Smith,73.1,3466,26.3,1247,0.7,31,4744
Delta,72.2,1580,26.9,589,0.8,18,2187
Denton,61.6,149935,37.5,91160,0.9,2168,243263
DeWitt,73.8,4888,25.9,1716,0.3,22,6626
Dickens,75.1,730,24.1,234,0.8,8,972
Dimmit,24.4,874,75.0,2692,0.6,21,3587
Donley,81.3,1374,17.2,291,1.5,25,1690
Duval,24.4,1076,74.8,3298,0.8,35,4409
Eastland,79.4,5165,19.5,1271,1.1,73,6509
Ector,73.6,26199,25.6,9123,0.8,284,35606
Edwards,65.0,673,33.4,346,1.5,16,1035
El_Paso,33.4,61783,65.9,122021,0.8,1429,185233
Ellis,70.7,38078,28.5,15333,0.8,442,53853
Erath,76.8,10768,22.3,3128,0.9,123,14019
Falls,59.4,3328,39.7,2225,0.8,46,5599
Fannin,69.2,8092,29.6,3464,1.2,138,11694
Fayette,70.8,7582,28.1,3014,1.1,118,10714
Fisher,60.7,1083,38.5,687,0.8,14,1784
Floyd,70.8,1784,29.0,730,0.3,7,2521
Foard,60.8,327,36.8,198,2.4,13,538
Fort_Bend,50.9,103206,48.5,98368,0.6,1248,202822
Franklin,75.5,3392,23.1,1036,1.4,63,4491
Freestone,71.4,5205,27.9,2034,0.7,49,7288
Frio,40.5,1644,59.2,2405,0.3,13,4062
Gaines,83.2,3385,16.0,650,0.8,32,4067
Galveston,59.3,62258,39.8,41805,0.9,941,105004
Garza,77.5,1356,21.4,375,1.1,19,1750
Gillespie,77.5,9563,20.9,2576,1.6,199,12338
Glasscock,90.1,502,9.3,52,0.5,3,557
Goliad,62.9,2298,36.4,1329,0.8,28,3655
Gonzales,64.8,4076,34.5,2167,0.7,44,6287
Gray,85.1,6924,14.2,1153,0.7,56,8133
Grayson,68.5,31136,30.6,13900,1.0,441,45477
Gregg,68.5,29203,30.9,13166,0.6,241,42610
Grimes,66.8,5562,32.5,2704,0.7,56,8322
Guadalupe,65.0,30869,34.0,16156,0.9,436,47461
Hale,72.1,7171,27.2,2708,0.6,64,9943
Hall,73.6,930,25.6,324,0.8,10,1264
Hamilton,76.1,2876,22.8,863,1.0,39,3778
Hansford,87.9,1847,11.4,240,0.7,15,2102
Hardeman,75.2,1199,23.4,373,1.4,23,1595
Hardin,80.2,16603,19.0,3939,0.8,160,20702
Harris,48.8,571883,50.5,590982,0.7,8607,1171472
Harrison,65.4,17103,34.0,8887,0.6,168,26158
Hartley,86.2,1711,12.6,250,1.2,24,1985
Haskell,65.6,1388,33.0,699,1.4,29,2116
