County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,5499,56.60,4172,42.94,44,0.45,1327,13.66,9715
Andrews,1777,45.14,2127,54.03,33,0.84,-350,-8.89,3937
Angelina,9750,56.98,7223,42.21,139,0.81,2527,14.77,17112
Aransas,2136,51.09,1985,47.48,60,1.44,151,3.61,4181
Archer,1577,61.58,966,37.72,18,0.70,611,23.86,2561
Armstrong,513,49.95,506,49.27,8,0.78,7,0.68,1027
Atascosa,4565,64.55,2415,34.15,92,1.30,2150,30.40,7072
Austin,2313,45.96,2686,53.37,34,0.68,-373,-7.41,5033
Bailey,1356,51.62,1255,47.77,16,0.61,101,3.84,2627
Bandera,1183,42.77,1554,56.18,29,1.05,-371,-13.41,2766
Bastrop,4788,66.46,2383,33.08,33,0.46,2405,33.38,7204
Baylor,1335,62.68,783,36.76,12,0.56,552,25.92,2130
Bee,3690,54.89,2953,43.93,79,1.18,737,10.96,6722
Bell,17499,53.17,15126,45.96,287,0.87,2373,7.21,32912
Bexar,146581,54.00,121176,44.64,3673,1.35,25405,9.36,271430
Blanco,923,47.19,1015,51.89,18,0.92,-92,-4.70,1956
Borden,234,60.00,150,38.46,6,1.54,84,21.54,390
Bosque,2954,60.50,1912,39.16,17,0.35,1042,21.34,4883
Bowie,12445,56.02,9590,43.17,179,0.81,2855,12.85,22214
Brazoria,21711,52.01,19475,46.65,558,1.34,2236,5.36,41744
Brazos,10628,39.81,15685,58.75,387,1.45,-5057,-18.94,26700
Brewster,1227,46.76,1368,52.13,29,1.11,-141,-5.37,2624
Briscoe,823,73.55,285,25.47,11,0.98,538,48.08,1119
Brooks,2782,81.13,641,18.69,6,0.17,2141,62.44,3429
Brown,5577,55.25,4483,44.41,35,0.35,1094,10.84,10095
Burleson,2924,71.65,1142,27.98,15,0.37,1782,43.67,4081
Burnet,3818,57.53,2777,41.85,41,0.62,1041,15.69,6636
Caldwell,3647,61.59,2235,37.75,39,0.66,1412,23.85,5921
Calhoun,3642,60.09,2377,39.22,42,0.69,1265,20.87,6061
Callahan,2241,58.00,1581,40.92,42,1.09,660,17.08,3864
Cameron,25310,60.10,16448,39.06,353,0.84,8862,21.04,42111
Camp,2146,65.33,1133,34.49,6,0.18,1013,30.84,3285
Carson,1542,54.60,1269,44.94,13,0.46,273,9.67,2824
Cass,5134,57.85,3712,41.83,29,0.33,1422,16.02,8875
Castro,2033,66.09,1007,32.74,36,1.17,1026,33.36,3076
Chambers,2927,60.33,1835,37.82,90,1.85,1092,22.51,4852
Cherokee,6509,62.20,3921,37.47,35,0.33,2588,24.73,10465
