County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,IND_NUM,IND_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Wichita,22884,54.98,17657,42.42,847,2.03,237,0.57,5227,12.56,41625
Wilbarger,3031,55.48,2347,42.96,53,0.97,32,0.59,684,12.52,5463
Willacy,1995,39.06,3047,59.65,38,0.74,28,0.55,-1052,-20.60,5108
Williamson,15035,56.39,10408,39.04,946,3.55,272,1.02,4627,17.35,26661
Wilson,3443,51.91,3097,46.70,73,1.10,19,0.29,346,5.22,6632
Winkler,2160,66.83,1021,31.59,35,1.08,16,0.50,1139,35.24,3232
Wise,4350,47.26,4674,50.78,108,1.17,73,0.79,-324,-3.52,9205
Wood,4515,52.07,4033,46.51,74,0.85,49,0.57,482,5.56,8671
Yoakum,1937,71.90,715,26.54,28,1.04,14,0.52,1222,45.36,2694
Young,4153,59.14,2740,39.02,84,1.20,45,0.64,1413,20.12,7022
Zapata,874,41.01,1218,57.16,19,0.89,20,0.94,-344,-16.14,2131
Zavala,831,23.49,2621,74.08,69,1.95,17,0.48,-1790,-50.59,3538
Totals,2510705,55.28,1881147,41.42,111613,2.46,38172,0.84,629558,13.86,4541637
