County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,IND_NUM,IND_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,5598,38.70,5322,36.79,3519,24.33,27,0.19,276,1.91,14466
Andrews,2266,53.60,1081,25.57,875,20.70,6,0.14,1185,28.03,4228
Angelina,9722,36.99,10318,39.26,6204,23.61,37,0.14,-596,-2.27,26281
Aransas,2826,41.74,2246,33.18,1676,24.76,22,0.32,580,8.57,6770
Archer,1560,39.32,1284,32.37,1106,27.88,17,0.43,276,6.96,3967
Armstrong,561,54.57,278,27.04,187,18.19,2,0.19,283,27.53,1028
Atascosa,3806,39.41,3766,38.99,2035,21.07,51,0.53,40,0.41,9658
Austin,4015,50.89,2278,28.87,1585,20.09,12,0.15,1737,22.02,7890
Bailey,1308,55.31,677,28.63,376,15.90,4,0.17,631,26.68,2365
Bandera,2674,50.24,1059,19.90,1537,28.88,52,0.98,1137,21.36,5322
Bastrop,4980,34.41,6252,43.19,3240,22.38,2,0.01,-1272,-8.79,14474
Baylor,611,28.66,990,46.44,529,24.81,2,0.09,-379,-17.78,2132
Bee,3633,39.89,4083,44.83,1367,15.01,25,0.27,-450,-4.94,9108
Bell,24936,45.27,18684,33.92,11026,20.02,431,0.78,6252,11.35,55077
Bexar,168816,40.65,172513,41.54,72110,17.36,1837,0.44,-3697,-0.89,415276
Blanco,1370,44.07,891,28.66,830,26.70,18,0.58,479,15.41,3109
Borden,184,48.68,106,28.04,87,23.02,1,0.26,78,20.63,378
Bosque,2300,35.44,2173,33.49,1999,30.81,17,0.26,127,1.96,6489
Bowie,11776,38.78,11825,38.94,6659,21.93,105,0.35,-49,-0.16,30365
Brazoria,30384,42.51,21861,30.59,18954,26.52,268,0.37,8523,11.93,71467
Brazos,23943,48.53,14819,30.03,10372,21.02,206,0.42,9124,18.49,49340
Brewster,1127,34.71,1383,42.59,712,21.93,25,0.77,-256,-7.88,3247
Briscoe,360,37.62,430,44.93,164,17.14,3,0.31,-70,-7.31,957
Brooks,585,15.54,2856,75.86,318,8.45,6,0.16,-2271,-60.32,3765
Brown,5313,42.07,4264,33.76,3034,24.02,19,0.15,1049,8.31,12630
Burleson,2013,35.25,2511,43.97,1179,20.64,8,0.14,-498,-8.72,5711
Burnet,4272,39.53,3638,33.66,2865,26.51,32,0.30,634,5.87,10807
Caldwell,2749,32.95,3794,45.47,1776,21.28,25,0.30,-1045,-12.52,8344
Calhoun,2640,38.94,2550,37.62,1579,23.29,10,0.15,90,1.33,6779
Callahan,2134,40.38,1694,32.05,1452,27.47,5,0.09,440,8.33,5285
Cameron,20123,34.07,29435,49.84,9286,15.72,213,0.36,-9312,-15.77,59057
Camp,1219,30.63,1938,48.69,821,20.63,2,0.05,-719,-18.07,3980
Carson,1647,53.88,825,26.99,578,18.91,7,0.23,822,26.89,3057
Cass,3999,34.30,5476,46.96,2168,18.59,17,0.15,-1477,-12.67,11660
Castro,1307,44.91,1113,38.25,485,16.67,5,0.17,194,6.67,2910
Chambers,3398,40.62,2832,33.85,2122,25.36,14,0.17,566,6.77,8366
Cherokee,5847,41.36,5003,35.39,3273,23.15,15,0.11,844,5.97,14138
Childress,1033,44.18,881,37.68,421,18.01,3,0.13,152,6.50,2338
Clay,1586,32.30,1919,39.08,1397,28.45,8,0.16,-333,-6.78,4910
Cochran,750,51.33,454,31.07,255,17.45,2,0.14,296,20.26,1461
Coke,640,39.65,580,35.94,393,24.35,1,0.06,60,3.72,1614
Coleman,1462,35.33,1579,38.16,1095,26.46,2,0.05,-117,-2.83,4138
Collin,60514,46.97,24508,19.02,43287,33.60,524,0.41,17227,13.37,128833
Collingsworth,697,43.56,635,39.69,265,16.56,3,0.19,62,3.88,1600
Colorado,3286,45.88,2442,34.10,1421,19.84,13,0.18,844,11.78,7162
Comal,12651,50.72,6312,25.31,5841,23.42,137,0.55,6339,25.42,24941
Comanche,1666,31.75,2296,43.75,1281,24.41,5,0.10,-630,-12.00,5248
Concho,414,33.50,489,39.56,329,26.62,4,0.32,-75,-6.07,1236
Cooke,5299,40.50,3105,23.73,4658,35.60,22,0.17,641,4.90,13084
Coryell,6144,42.93,4157,29.05,3974,27.77,37,0.26,1987,13.88,14312
Cottle,245,23.90,542,52.88,235,22.93,3,0.29,-297,-28.98,1025
Crane,918,49.76,514,27.86,412,22.33,1,0.05,404,21.90,1845
Crockett,623,37.87,653,39.70,368,22.37,1,0.06,-30,-1.82,1645
Crosby,1006,43.08,1010,43.25,313,13.40,6,0.26,-4,-0.17,2335
Culberson,251,29.63,424,50.06,171,20.19,1,0.12,-173,-20.43,847
Dallam,922,54.78,434,25.79,325,19.31,2,0.12,488,29.00,1683
Dallas,256007,38.72,231412,35.00,170571,25.80,3262,0.49,24595,3.72,661252
Dawson,2691,55.43,1639,33.76,518,10.67,7,0.14,1052,21.67,4855
Deaf_Smith,3137,56.43,1642,29.54,772,13.89,8,0.14,1495,26.89,5559
Delta,599,29.73,864,42.88,551,27.34,1,0.05,-265,-13.15,2015
Denton,48492,41.60,27891,23.93,39653,34.01,540,0.46,8839,7.58,116576
Dewitt,3238,48.11,2127,31.60,1346,20.00,19,0.28,1111,16.51,6730
Dickens,373,32.16,536,46.21,250,21.55,1,0.09,-163,-14.05,1160
Dimmit,844,19.27,3172,72.42,361,8.24,3,0.07,-2328,-53.15,4380
Donley,893,51.47,578,33.31,260,14.99,4,0.23,315,18.16,1735
Duval,698,13.86,4006,79.56,326,6.47,5,0.10,-3308,-65.70,5035
Eastland,2830,38.87,2738,37.60,1698,23.32,15,0.21,92,1.26,7281
Ector,18161,50.35,11130,30.85,6668,18.48,114,0.32,7031,19.49,36073
Edwards,460,51.86,254,28.64,171,19.28,2,0.23,206,23.22,887
Ellis,13564,40.50,9537,28.47,10303,30.76,91,0.27,3261,9.74,33495
El_Paso,47224,34.94,67715,50.10,19738,14.60,486,0.36,-20491,-15.16,135163
Erath,3835,36.77,3531,33.85,3046,29.20,19,0.18,304,2.91,10431
Falls,1826,31.63,2761,47.83,1185,20.53,1,0.02,-935,-16.20,5773
Fannin,2510,26.11,4164,43.31,2919,30.36,22,0.23,1245,12.95,9615
Fayette,3789,42.94,2923,33.13,2088,23.67,23,0.26,866,9.82,8823
Fisher,539,24.22,1242,55.82,442,19.87,2,0.09,-703,-31.60,2225
Floyd,1676,55.70,947,31.47,385,12.79,1,0.03,729,24.23,3009
Foard,207,26.01,435,54.65,152,19.10,2,0.25,-228,-28.64,796
Fort_Bend,41039,46.62,29992,34.07,16853,19.14,147,0.17,11047,12.55,88031
Franklin,1058,31.66,1338,40.04,942,28.19,4,0.12,-280,-8.38,3342
Freestone,2316,36.39,2445,38.41,1596,25.07,8,0.13,-129,-2.03,6365
Frio,1275,29.52,2377,55.04,654,15.14,13,0.30,-1102,-25.52,4319
Gaines,2138,54.36,1095,27.84,696,17.70,4,0.10,1043,26.52,3933
Galveston,31303,34.69,38623,42.80,20103,22.28,213,0.24,-7320,-8.11,90242
Garza,982,52.01,558,29.56,345,18.27,3,0.16,424,22.46,1888
Gillespie,4712,56.28,1600,19.11,2018,24.10,42,0.50,2694,32.18,8372
Glasscock,379,66.03,100,17.42,93,16.20,2,0.35,279,48.61,574
Goliad,1236,43.66,1069,37.76,521,18.40,5,0.18,167,5.90,2831
Gonzales,2502,45.02,2006,36.10,1018,18.32,31,0.56,496,8.93,5557
Gray,6105,58.86,2426,23.39,1810,17.45,31,0.30,3679,35.47,10372
Grayson,12322,32.15,12547,32.73,13327,34.77,136,0.35,-780,-2.03,38332
Gregg,20542,49.11,12797,30.59,8437,20.17,53,0.13,7745,18.52,41829
Grimes,2402,38.64,2594,41.72,1213,19.51,8,0.13,-192,-3.09,6217
Guadalupe,10818,46.79,6567,28.40,5618,24.30,117,0.51,4251,18.39,23120
Hale,6098,59.59,2761,26.98,1357,13.26,18,0.18,3337,32.61,10234
Hall,631,36.81,819,47.78,263,15.34,1,0.06,-188,-10.97,1714
Hamilton,1232,37.80,1100,33.75,921,28.26,6,0.18,132,4.05,3259
Hansford,1660,69.08,345,14.36,398,16.56,0,0.00,1262,52.52,2403
Hardeman,614,31.71,954,49.28,362,18.70,6,0.31,-340,-17.56,1936
Hardin,5885,35.04,6753,40.21,4129,24.59,26,0.15,-868,-5.17,16793
Harris,406778,43.14,360171,38.20,172922,18.34,3076,0.33,46607,4.94,942947
Harrison,8733,38.50,9538,42.05,4371,19.27,41,0.18,-805,-3.55,22683
Hartley,1081,60.16,406,22.59,308,17.14,2,0.11,675,37.56,1797
Haskell,852,29.86,1438,50.40,562,19.70,1,0.04,-586,-20.54,2853
Hays,10008,36.70,10842,39.76,6252,22.93,165,0.61,-834,-3.06,27267
Hemphill,989,58.18,479,28.18,232,13.65,0,0.00,510,30.00,1700
Henderson,8368,34.49,9105,37.53,6746,27.81,42,0.17,-737,-3.04,24261
Hidalgo,26976,30.60,51205,58.08,9757,11.07,222,0.25,-24229,-27.48,88160
Hill,3669,35.36,3929,37.87,2752,26.52,26,0.25,-260,-2.51,10376
Hockley,4261,54.16,2301,29.25,1291,16.41,15,0.19,1960,24.91,7868
Hood,5313,37.52,4359,30.78,4457,31.47,33,0.23,856,6.04,14162
Hopkins,3398,31.93,4085,38.38,3147,29.57,13,0.12,-687,-6.45,10643
Houston,3067,38.24,3250,40.52,1690,21.07,13,0.16,-183,-2.28,8020
Howard,5129,47.17,3735,34.35,1984,18.25,25,0.23,1394,12.82,10873
Hudspeth,325,37.40,364,41.89,178,20.48,2,0.23,-39,-4.49,869
Hunt,9739,39.51,7452,30.23,7387,29.97,72,0.29,2287,9.28,24650
Hutchinson,6034,55.42,2833,26.02,1993,18.30,28,0.26,3201,29.40,10888
Irion,283,34.06,256,30.81,290,34.90,2,0.24,-7,-0.84,831
Jack,1041,31.10,1254,37.47,1045,31.22,7,0.21,209,6.24,3347
Jackson,2451,47.57,1722,33.42,976,18.94,3,0.06,729,14.15,5152
Jasper,3870,32.02,5658,46.81,2539,21.01,20,0.17,-1788,-14.79,12087
Jeff_Davis,360,41.10,321,36.64,187,21.35,8,0.91,39,4.45,876
Jefferson,29622,31.00,48405,50.66,17242,18.05,274,0.29,-18783,-19.66,95543
Jim_Hogg,478,22.65,1520,72.04,107,5.07,5,0.24,-1042,-49.38,2110
Jim_Wells,3311,26.36,7812,62.19,1413,11.25,25,0.20,-4501,-35.83,12561
Johnson,13473,36.22,12030,32.34,11573,31.11,126,0.34,1443,3.88,37202
Jones,2088,35.20,2400,40.46,1436,24.21,8,0.13,-312,-5.26,5932
Karnes,1990,42.34,1897,40.36,802,17.06,11,0.23,93,1.98,4700
Kaufman,6578,34.51,6498,34.09,5913,31.02,71,0.37,80,0.42,19060
Kendall,4162,56.60,1374,18.68,1773,24.11,45,0.61,2389,32.49,7354
