County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,8634,64.32,4747,35.36,42,0.31,3887,28.96,13423
Andrews,3918,82.48,820,17.26,12,0.25,3098,65.22,4750
Angelina,14685,61.62,9054,37.99,92,0.39,5631,23.63,23831
Aransas,4352,71.73,1696,27.95,19,0.31,2656,43.78,6067
Archer,2487,69.33,1089,30.36,11,0.31,1398,38.97,3587
Armstrong,791,76.50,238,23.02,5,0.48,553,53.48,1034
Atascosa,5279,59.68,3547,40.10,19,0.21,1732,19.58,8845
Austin,4872,71.29,1941,28.40,21,0.31,2931,42.89,6834
Bailey,1888,73.01,684,26.45,14,0.54,1204,46.56,2586
Bandera,3152,80.04,771,19.58,15,0.38,2381,60.46,3938
Bastrop,6439,57.38,4744,42.28,38,0.34,1695,15.11,11221
Baylor,1314,56.01,1019,43.44,13,0.55,295,12.57,2346
Bee,5377,59.32,3659,40.37,28,0.31,1718,18.95,9064
Bell,31117,69.52,13322,29.76,323,0.72,17795,39.75,44762
Bexar,203319,59.65,136947,40.18,560,0.16,66372,19.47,340826
Blanco,1957,73.43,700,26.27,8,0.30,1257,47.17,2665
Borden,325,69.44,140,29.91,3,0.64,185,39.53,468
Bosque,3923,65.57,2046,34.20,14,0.23,1877,31.37,5983
Bowie,18244,64.22,10077,35.47,88,0.31,8167,28.75,28409
Brazoria,39166,67.52,18609,32.08,234,0.40,20557,35.44,58009
Brazos,34733,73.55,12348,26.15,140,0.30,22385,47.40,47221
Brewster,2066,58.28,1462,41.24,17,0.48,604,17.04,3545
Briscoe,538,52.90,471,46.31,8,0.79,67,6.59,1017
Brooks,896,24.79,2702,74.76,16,0.44,-1806,-49.97,3614
Brown,8468,67.29,4070,32.34,47,0.37,4398,34.95,12585
Burleson,3076,54.29,2578,45.50,12,0.21,498,8.79,5666
Burnet,5895,66.18,2983,33.49,29,0.33,2912,32.69,8907
Caldwell,4315,55.81,3401,43.99,16,0.21,914,11.82,7732
Calhoun,4434,62.99,2586,36.74,19,0.27,1848,26.25,7039
Callahan,3538,72.69,1305,26.81,24,0.49,2233,45.88,4867
Cameron,29545,52.64,26394,47.03,187,0.33,3151,5.61,56126
Camp,2238,53.69,1917,45.99,13,0.31,321,7.70,4168
Carson,2412,74.12,826,25.38,16,0.49,1586,48.74,3254
Cass,6677,56.78,5053,42.97,30,0.26,1624,13.81,11760
Castro,2026,66.30,1009,33.02,21,0.69,1017,33.28,3056
Chambers,4322,61.84,2632,37.66,35,0.50,1690,24.18,6989
Cherokee,8187,64.41,4494,35.36,30,0.24,3693,29.05,12711
Childress,1574,63.44,900,36.28,7,0.28,674,27.17,2481
Clay,2569,58.04,1844,41.66,13,0.29,725,16.38,4426
Cochran,1117,66.13,557,32.98,15,0.89,560,33.16,1689
Coke,1060,66.25,532,33.25,8,0.50,528,33.00,1600
Coleman,2790,66.16,1420,33.67,7,0.17,1370,32.49,4217
Collin,61095,81.64,13604,18.18,139,0.19,47491,63.46,74838
Collingsworth,1396,64.96,742,34.53,11,0.51,654,30.43,2149
Colorado,4528,64.95,2428,34.83,15,0.22,2100,30.12,6971
Comal,13452,76.07,4179,23.63,52,0.29,9273,52.44,17683
Comanche,2678,54.12,2248,45.43,22,0.44,430,8.69,4948
Concho,821,58.31,580,41.19,7,0.50,241,17.12,1408
Cooke,8260,71.43,3278,28.35,26,0.22,4982,43.08,11564
Coryell,9056,74.24,3113,25.52,30,0.25,5943,48.72,12199
Cottle,507,44.09,623,54.17,20,1.74,-116,-10.09,1150
Crane,1473,78.60,392,20.92,9,0.48,1081,57.68,1874
Crockett,1094,64.96,589,34.98,1,0.06,505,29.99,1684
Crosby,1376,52.94,1212,46.63,11,0.42,164,6.31,2599
Culberson,509,55.51,407,44.38,1,0.11,102,11.12,917
Dallam,1594,75.80,496,23.59,13,0.62,1098,52.21,2103
Dallas,405444,66.41,203592,33.35,1460,0.24,201852,33.06,610496
Dawson,3685,67.21,1781,32.48,17,0.31,1904,34.73,5483
Deaf_Smith,4762,75.79,1485,23.64,36,0.57,3277,52.16,6283
Delta,1024,51.17,973,48.63,4,0.20,51,2.55,2001
Denton,52865,75.74,16772,24.03,159,0.23,36093,51.71,69796
Dewitt,4401,69.95,1882,29.91,9,0.14,2519,40.03,6292
Dickens,594,45.90,692,53.48,8,0.62,-98,-7.57,1294
Dimmit,1338,34.38,2546,65.42,8,0.21,-1208,-31.04,3892
Donley,1297,70.84,529,28.89,5,0.27,768,41.94,1831
Duval,1201,24.22,3748,75.58,10,0.20,-2547,-51.36,4959
Eastland,4841,65.52,2522,34.13,26,0.35,2319,31.38,7389
