County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,UNI_NUM,UNI_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Willacy,1002,71.62,376,26.88,19,1.36,2,0.14,626,44.75,1399
Williamson,4995,92.79,375,6.97,3,0.06,10,0.19,4620,85.83,5383
Wilson,2573,89.84,286,9.99,1,0.03,4,0.14,2287,79.85,2864
Winkler,903,92.62,63,6.46,4,0.41,5,0.51,840,86.15,975
Wise,2737,88.58,348,11.26,2,0.06,3,0.10,2389,77.31,3090
Wood,2751,93.25,192,6.51,1,0.03,6,0.20,2559,86.75,2950
Yoakum,227,92.65,13,5.31,3,1.22,2,0.82,214,87.35,245
Young,3065,90.65,304,8.99,7,0.21,5,0.15,2761,81.66,3381
Zapata,282,89.24,34,10.76,0,0.00,0,0.00,248,78.48,316
Zavala,788,78.64,209,20.86,3,0.30,2,0.20,579,57.78,1002
Totals,739900,87.06,104661,12.32,3187,0.38,1583,0.19,635239,74.79,849845
