County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,REG_NUM,REG_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Martin,758,76.88,131,13.29,97,9.84,0,0.00,627,63.59,986
Mason,822,54.95,420,28.07,248,16.58,6,0.40,402,26.87,1496
Matagorda,1854,60.45,412,13.43,798,26.02,3,0.10,1056,34.43,3067
Maverick,787,70.14,302,26.92,30,2.67,3,0.27,485,43.23,1122
McCulloch,2088,74.47,463,16.51,251,8.95,2,0.07,1625,57.95,2804
McLennan,15336,82.31,1668,8.95,1591,8.54,36,0.19,13668,73.36,18631
McMullen,223,59.47,106,28.27,45,12.00,1,0.27,117,31.20,375
Medina,1469,43.35,1607,47.42,311,9.18,2,0.06,-138,-4.07,3389
Menard,776,69.16,96,8.56,250,22.28,0,0.00,526,46.88,1122
Midland,1688,57.63,302,10.31,938,32.02,1,0.03,750,25.61,2929
Milam,3537,71.11,623,12.53,803,16.14,11,0.22,2734,54.97,4974
Mills,1428,78.59,172,9.47,216,11.89,1,0.06,1212,66.70,1817
Mitchell,2215,86.09,218,8.47,138,5.36,2,0.08,1997,77.61,2573
Montague,2900,78.17,429,11.56,375,10.11,6,0.16,2471,66.60,3710
Montgomery,2902,80.17,219,6.05,493,13.62,6,0.17,2409,66.55,3620
Moore,999,71.66,313,22.45,80,5.74,2,0.14,686,49.21,1394
Morris,1269,85.98,122,8.27,85,5.76,0,0.00,1147,77.71,1476
Motley,744,79.57,107,11.44,79,8.45,5,0.53,637,68.13,935
Nacogdoches,3226,77.14,319,7.63,619,14.80,18,0.43,2607,62.34,4182
Navarro,6298,85.10,449,6.07,639,8.63,15,0.20,5659,76.46,7401
Newton,910,74.35,187,15.28,124,10.13,3,0.25,723,59.07,1224
Nolan,3071,81.96,322,8.59,349,9.31,5,0.13,2722,72.64,3747
Nueces,11091,70.32,3819,24.21,835,5.29,28,0.18,7272,46.10,15773
Ochiltree,863,65.93,307,23.45,136,10.39,3,0.23,556,42.48,1309
Oldham,277,67.73,93,22.74,36,8.80,3,0.73,184,44.99,409
Orange,4500,77.05,910,15.58,421,7.21,9,0.15,3590,61.47,5840
Palo_Pinto,3291,79.76,416,10.08,410,9.94,9,0.22,2875,69.68,4126
Panola,2106,84.17,221,8.83,164,6.55,11,0.44,1885,75.34,2502
Parker,3503,76.90,559,12.27,476,10.45,17,0.37,2944,64.63,4555
Parmer,810,58.53,415,29.99,157,11.34,2,0.14,395,28.54,1384
Pecos,1226,74.17,305,18.45,120,7.26,2,0.12,921,55.72,1653
Polk,1817,80.61,154,6.83,280,12.42,3,0.13,1537,68.19,2254
Potter,6519,64.65,2759,27.36,783,7.76,23,0.23,3760,37.29,10084
Presidio,648,63.28,211,20.61,165,16.11,0,0.00,437,42.68,1024
Rains,628,68.56,137,14.96,149,16.27,2,0.22,479,52.29,916
Randall,1439,68.04,409,19.34,263,12.43,4,0.19,1030,48.70,2115
Reagan,426,81.92,53,10.19,40,7.69,1,0.19,373,71.73,520
Real,326,59.38,163,29.69,59,10.75,1,0.18,163,29.69,549
Red_River,2991,78.24,466,12.19,361,9.44,5,0.13,2525,66.05,3823
Reeves,1157,76.62,201,13.31,149,9.87,3,0.20,956,63.31,1510
Refugio,991,67.51,376,25.61,96,6.54,5,0.34,615,41.89,1468
Roberts,289,69.14,89,21.29,37,8.85,3,0.72,200,47.85,418
Robertson,2681,88.13,126,4.14,231,7.59,4,0.13,2450,80.54,3042
Rockwall,1153,84.90,98,7.22,98,7.22,9,0.66,1055,77.69,1358
Runnels,2657,70.16,685,18.09,438,11.57,7,0.18,1972,52.07,3787
Rusk,5232,76.45,637,9.31,973,14.22,2,0.03,4259,62.23,6844
Sabine,1169,80.68,203,14.01,75,5.18,2,0.14,966,66.67,1449
San_Augustine,1176,92.02,102,7.98,0,0.00,0,0.00,1074,84.04,1278
San_Jacinto,522,72.50,53,7.36,145,20.14,0,0.00,377,52.36,720
San_Patricio,2712,70.61,878,22.86,242,6.30,9,0.23,1834,47.75,3841
San_Saba,2109,88.13,177,7.40,104,4.35,3,0.13,1932,80.74,2393
Schleicher,520,74.82,84,12.09,89,12.81,2,0.29,431,62.01,695
Scurry,1761,80.93,285,13.10,130,5.97,0,0.00,1476,67.83,2176
Shackelford,1007,75.21,135,10.08,194,14.49,3,0.22,813,60.72,1339
Shelby,2927,82.13,428,12.01,205,5.75,4,0.11,2499,70.12,3564
Sherman,454,77.74,97,16.61,32,5.48,1,0.17,357,61.13,584
Smith,6671,69.94,936,9.81,1921,20.14,10,0.10,4750,49.80,9538
Somervell,406,65.38,87,14.01,127,20.45,1,0.16,279,44.93,621
Starr,1312,94.05,68,4.87,15,1.08,0,0.00,1244,89.18,1395
Stephens,2104,75.04,217,7.74,479,17.08,4,0.14,1625,57.95,2804
Sterling,330,92.18,18,5.03,10,2.79,0,0.00,312,87.15,358
Stonewall,902,83.52,89,8.24,89,8.24,0,0.00,813,75.28,1080
Sutton,449,70.60,118,18.55,69,10.85,0,0.00,331,52.04,636
Swisher,1275,70.09,331,18.20,208,11.43,5,0.27,944,51.90,1819
Tarrant,36791,72.05,4113,8.05,10161,19.90,0,0.00,26630,52.15,51065
Taylor,7975,81.86,602,6.18,1149,11.79,16,0.16,6826,70.07,9742
Terrell,329,65.28,156,30.95,17,3.37,2,0.40,173,34.33,504
Terry,2304,82.88,273,9.82,203,7.30,0,0.00,2031,73.06,2780
Throckmorton,970,81.93,76,6.42,135,11.40,3,0.25,835,70.52,1184
Titus,2612,84.07,265,8.53,226,7.27,4,0.13,2347,75.54,3107
Tom_Green,6272,75.51,1125,13.54,891,10.73,18,0.22,5147,61.97,8306
Travis,14384,74.80,2324,12.09,2496,12.98,26,0.14,11888,61.82,19230
Trinity,1132,73.13,127,8.20,287,18.54,2,0.13,845,54.59,1548
Tyler,1037,72.98,219,15.41,162,11.40,3,0.21,818,57.57,1421
Upshur,2369,70.32,446,13.24,548,16.27,6,0.18,1821,54.05,3369
Upton,742,81.09,105,11.48,66,7.21,2,0.22,637,69.62,915
Uvalde,1322,56.11,856,36.33,166,7.05,12,0.51,466,19.78,2356
Val_Verde,1210,60.96,676,34.06,98,4.94,1,0.05,534,26.90,1985
Van_Zandt,3139,74.65,503,11.96,540,12.84,23,0.55,2599,61.81,4205
Victoria,2331,63.27,936,25.41,415,11.26,2,0.05,1395,37.87,3684
Walker,1638,80.41,145,7.12,254,12.47,0,0.00,1384,67.94,2037
Waller,1007,70.13,190,13.23,234,16.30,5,0.35,773,53.83,1436
