County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,DIX_NUM,DIX_PCT,PRO_NUM,PRO_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Rains,739,78.28,111,11.76,90,9.53,3,0.32,1,0.11,628,66.52,944
Randall,1936,69.84,722,26.05,98,3.54,12,0.43,4,0.14,1214,43.79,2772
Reagan,444,76.68,112,19.34,21,3.63,1,0.17,1,0.17,332,57.34,579
Real,446,72.40,156,25.32,12,1.95,0,0.00,2,0.32,290,47.08,616
Red_River,2987,75.49,323,8.16,637,16.10,5,0.13,5,0.13,2350,59.39,3957
Reeves,1383,77.31,309,17.27,95,5.31,1,0.06,1,0.06,1074,60.04,1789
Refugio,1637,74.44,489,22.24,64,2.91,4,0.18,5,0.23,1148,52.20,2199
Roberts,317,75.84,76,18.18,25,5.98,0,0.00,0,0.00,241,57.66,418
Robertson,2147,74.11,246,8.49,495,17.09,1,0.03,8,0.28,1652,57.02,2897
Rockwall,947,75.64,117,9.35,164,13.10,3,0.24,21,1.68,783,62.54,1252
Runnels,2954,81.72,526,14.55,117,3.24,9,0.25,9,0.25,2428,67.17,3615
Rusk,4322,58.60,1294,17.55,1730,23.46,11,0.15,18,0.24,2592,35.14,7375
Sabine,1078,75.28,104,7.26,238,16.62,3,0.21,9,0.63,840,58.66,1432
San_Augustine,858,67.83,137,10.83,249,19.68,0,0.00,21,1.66,609,48.15,1265
San_Jacinto,509,65.76,106,13.70,153,19.77,3,0.39,3,0.39,356,45.99,774
San_Patricio,2649,69.29,963,25.19,181,4.73,15,0.39,15,0.39,1686,44.10,3823
San_Saba,2050,89.01,184,7.99,65,2.82,0,0.00,4,0.17,1866,81.02,2303
Schleicher,495,76.74,107,16.59,43,6.67,0,0.00,0,0.00,388,60.15,645
Scurry,2040,88.39,201,8.71,55,2.38,3,0.13,9,0.39,1839,79.68,2308
Shackelford,892,77.84,211,18.41,43,3.75,0,0.00,0,0.00,681,59.43,1146
Shelby,3051,75.59,307,7.61,666,16.50,2,0.05,10,0.25,2385,59.09,4036
Sherman,479,80.91,98,16.55,10,1.69,0,0.00,5,0.84,381,64.36,592
Smith,6473,57.24,3181,28.13,1600,14.15,17,0.15,38,0.34,3292,29.11,11309
Somervell,446,76.50,91,15.61,46,7.89,0,0.00,0,0.00,355,60.89,583
Starr,1996,91.22,179,8.18,10,0.46,2,0.09,1,0.05,1817,83.04,2188
Stephens,2132,73.77,572,19.79,164,5.67,11,0.38,11,0.38,1560,53.98,2890
Sterling,244,91.04,17,6.34,7,2.61,0,0.00,0,0.00,227,84.70,268
Stonewall,968,90.98,65,6.11,28,2.63,1,0.09,2,0.19,903,84.87,1064
Sutton,433,69.61,131,21.06,58,9.32,0,0.00,0,0.00,302,48.55,622
Swisher,1670,81.78,307,15.03,57,2.79,2,0.10,6,0.29,1363,66.75,2042
Tarrant,36325,59.81,17157,28.25,6932,11.41,160,0.26,165,0.27,19168,31.56,60739
Taylor,8184,78.90,1658,15.98,478,4.61,14,0.13,39,0.38,6526,62.92,10373
Terrell,171,64.53,78,29.43,14,5.28,1,0.38,1,0.38,93,35.10,265
Terry,2283,85.03,236,8.79,152,5.66,2,0.07,12,0.45,2047,76.24,2685
Throckmorton,1026,91.61,63,5.63,30,2.68,1,0.09,0,0.00,963,85.98,1120
Titus,2339,76.56,379,12.41,332,10.87,1,0.03,4,0.13,1960,64.15,3055
Tom_Green,6777,74.34,1822,19.99,481,5.28,13,0.14,23,0.25,4955,54.35,9116
Travis,19598,72.03,5994,22.03,1252,4.60,203,0.75,160,0.59,13604,50.00,27207
Trinity,905,68.82,150,11.41,250,19.01,3,0.23,7,0.53,655,49.81,1315
Tyler,895,57.70,177,11.41,466,30.05,2,0.13,11,0.71,429,27.65,1551
Upshur,2118,66.92,555,17.54,485,15.32,1,0.03,6,0.19,1563,49.38,3165
Upton,811,79.20,155,15.14,55,5.37,1,0.10,2,0.20,656,64.06,1024
Uvalde,1550,60.90,866,34.03,114,4.48,0,0.00,15,0.59,684,26.87,2545
Val_Verde,1242,62.79,672,33.97,63,3.19,0,0.00,1,0.05,570,28.82,1978
Van_Zandt,3264,75.03,578,13.29,463,10.64,11,0.25,34,0.78,2686,61.74,4350
Victoria,2435,60.24,1262,31.22,328,8.11,10,0.25,7,0.17,1173,29.02,4042
Walker,1439,56.12,570,22.23,542,21.14,1,0.04,12,0.47,869,33.89,2564
Waller,812,49.69,448,27.42,359,21.97,12,0.73,3,0.18,364,22.27,1634
Ward,2119,79.72,414,15.58,118,4.44,5,0.19,2,0.08,1705,64.14,2658
Washington,1647,44.01,1904,50.88,190,5.08,1,0.03,0,0.00,-257,-6.87,3742
Webb,4595,80.68,1004,17.63,53,0.93,39,0.68,4,0.07,3591,63.05,5695
Wharton,2811,60.00,1354,28.90,484,10.33,24,0.51,12,0.26,1457,31.10,4685
Wheeler,2010,81.71,370,15.04,67,2.72,2,0.08,11,0.45,1640,66.67,2460
Wichita,12235,77.11,2887,18.20,683,4.30,29,0.18,32,0.20,9348,58.91,15866
Wilbarger,2963,77.97,529,13.92,295,7.76,6,0.16,7,0.18,2434,64.05,3800
Willacy,1139,59.20,676,35.14,99,5.15,5,0.26,5,0.26,463,24.06,1924
Williamson,5638,80.24,1094,15.57,258,3.67,26,0.37,10,0.14,4544,64.67,7026
Wilson,2313,76.59,593,19.64,108,3.58,5,0.17,1,0.03,1720,56.95,3020
Winkler,1588,80.08,296,14.93,90,4.54,2,0.10,7,0.35,1292,65.15,1983
Wise,3064,81.10,448,11.86,254,6.72,3,0.08,9,0.24,2616,69.24,3778
Wood,2590,66.67,629,16.19,642,16.53,9,0.23,15,0.39,1948,50.14,3885
Yoakum,861,84.41,119,11.67,32,3.14,4,0.39,4,0.39,742,72.74,1020
Young,3175,81.45,516,13.24,186,4.77,4,0.10,17,0.44,2659,68.21,3898
Zapata,632,60.36,414,39.54,1,0.10,0,0.00,0,0.00,218,20.82,1047
Zavala,618,62.68,306,31.03,58,5.88,3,0.30,1,0.10,312,31.65,986
Totals,824235,65.96,303467,24.29,113921,9.12,3913,0.31,4041,0.32,520768,41.67,1249577
